id,ide,E,ƒË,t,alpha,k
0,0,210000,0,0.01,0.0000117,0.0835
1,1,210000,0,0.01,0.0000117,0.0835
2,2,210000,0,0.01,0.0000117,0.0835
3,3,210000,0,0.01,0.0000117,0.0835
4,4,210000,0,0.01,0.0000117,0.0835
5,5,210000,0,0.01,0.0000117,0.0835
6,6,210000,0,0.01,0.0000117,0.0835
7,7,210000,0,0.01,0.0000117,0.0835
8,8,210000,0,0.01,0.0000117,0.0835
9,9,210000,0,0.01,0.0000117,0.0835
10,10,210000,0,0.01,0.0000117,0.0835
11,11,210000,0,0.01,0.0000117,0.0835
12,12,210000,0,0.01,0.0000117,0.0835
13,13,210000,0,0.01,0.0000117,0.0835
14,14,210000,0,0.01,0.0000117,0.0835
15,15,210000,0,0.01,0.0000117,0.0835
16,16,210000,0,0.01,0.0000117,0.0835
17,17,210000,0,0.01,0.0000117,0.0835
18,18,210000,0,0.01,0.0000117,0.0835
19,19,210000,0,0.01,0.0000117,0.0835
20,20,210000,0,0.01,0.0000117,0.0835
21,21,210000,0,0.01,0.0000117,0.0835
22,22,210000,0,0.01,0.0000117,0.0835
23,23,210000,0,0.01,0.0000117,0.0835
24,24,210000,0,0.01,0.0000117,0.0835
25,25,210000,0,0.01,0.0000117,0.0835
26,26,210000,0,0.01,0.0000117,0.0835
27,27,210000,0,0.01,0.0000117,0.0835
28,28,210000,0,0.01,0.0000117,0.0835
29,29,210000,0,0.01,0.0000117,0.0835
30,30,210000,0,0.01,0.0000117,0.0835
31,31,210000,0,0.01,0.0000117,0.0835
32,32,210000,0,0.01,0.0000117,0.0835
33,33,210000,0,0.01,0.0000117,0.0835
34,34,210000,0,0.01,0.0000117,0.0835
35,35,210000,0,0.01,0.0000117,0.0835
36,36,210000,0,0.01,0.0000117,0.0835
37,37,210000,0,0.01,0.0000117,0.0835
38,38,210000,0,0.01,0.0000117,0.0835
39,39,210000,0,0.01,0.0000117,0.0835
