id,ide,rho,c,k,dt,theta
0,0,0.007874,0.435,0.0835,0.05,0.5
1,1,0.007874,0.435,0.0835,0.05,0.5
2,2,0.007874,0.435,0.0835,0.05,0.5
3,3,0.007874,0.435,0.0835,0.05,0.5
4,4,0.007874,0.435,0.0835,0.05,0.5
5,5,0.007874,0.435,0.0835,0.05,0.5
6,6,0.007874,0.435,0.0835,0.05,0.5
7,7,0.007874,0.435,0.0835,0.05,0.5
8,8,0.007874,0.435,0.0835,0.05,0.5
9,9,0.007874,0.435,0.0835,0.05,0.5
10,10,0.007874,0.435,0.0835,0.05,0.5
11,11,0.007874,0.435,0.0835,0.05,0.5
12,12,0.007874,0.435,0.0835,0.05,0.5
13,13,0.007874,0.435,0.0835,0.05,0.5
14,14,0.007874,0.435,0.0835,0.05,0.5
15,15,0.007874,0.435,0.0835,0.05,0.5
16,16,0.007874,0.435,0.0835,0.05,0.5
17,17,0.007874,0.435,0.0835,0.05,0.5
18,18,0.007874,0.435,0.0835,0.05,0.5
19,19,0.007874,0.435,0.0835,0.05,0.5
20,20,0.007874,0.435,0.0835,0.05,0.5
21,21,0.007874,0.435,0.0835,0.05,0.5
22,22,0.007874,0.435,0.0835,0.05,0.5
23,23,0.007874,0.435,0.0835,0.05,0.5
24,24,0.007874,0.435,0.0835,0.05,0.5
25,25,0.007874,0.435,0.0835,0.05,0.5
26,26,0.007874,0.435,0.0835,0.05,0.5
27,27,0.007874,0.435,0.0835,0.05,0.5
28,28,0.007874,0.435,0.0835,0.05,0.5
29,29,0.007874,0.435,0.0835,0.05,0.5
30,30,0.007874,0.435,0.0835,0.05,0.5
31,31,0.007874,0.435,0.0835,0.05,0.5
32,32,0.007874,0.435,0.0835,0.05,0.5
33,33,0.007874,0.435,0.0835,0.05,0.5
34,34,0.007874,0.435,0.0835,0.05,0.5
35,35,0.007874,0.435,0.0835,0.05,0.5
36,36,0.007874,0.435,0.0835,0.05,0.5
37,37,0.007874,0.435,0.0835,0.05,0.5
38,38,0.007874,0.435,0.0835,0.05,0.5
39,39,0.007874,0.435,0.0835,0.05,0.5
