ID,x0,x1,x2,u0,u1,u2
0,0,0,0,0,1,2
1,2.5,0,0,0,1,2
2,5,0,0,0,1,2
3,7.5,0,0,0,1,2
4,10,0,0,0,1,2
5,12.5,0,0,0,1,2
6,15,0,0,0,1,2
7,17.5,0,0,0,1,2
8,20,0,0,0,1,2
9,22.5,0,0,0,1,2
10,25,0,0,0,1,2
11,0,2.5,0,0,1,2
12,2.5,2.5,0,0,1,2
13,5,2.5,0,0,1,2
14,7.5,2.5,0,0,1,2
15,10,2.5,0,0,1,2
16,12.5,2.5,0,0,1,2
17,15,2.5,0,0,1,2
18,17.5,2.5,0,0,1,2
19,20,2.5,0,0,1,2
20,22.5,2.5,0,0,1,2
21,25,2.5,0,0,1,2
22,0,5,0,0,1,2
23,2.5,5,0,0,1,2
24,5,5,0,0,1,2
25,7.5,5,0,0,1,2
26,10,5,0,0,1,2
27,12.5,5,0,0,1,2
28,15,5,0,0,1,2
29,17.5,5,0,0,1,2
30,20,5,0,0,1,2
31,22.5,5,0,0,1,2
32,25,5,0,0,1,2
33,0,7.5,0,0,1,2
34,2.5,7.5,0,0,1,2
35,5,7.5,0,0,1,2
36,7.5,7.5,0,0,1,2
37,10,7.5,0,0,1,2
38,12.5,7.5,0,0,1,2
39,15,7.5,0,0,1,2
40,17.5,7.5,0,0,1,2
41,20,7.5,0,0,1,2
42,22.5,7.5,0,0,1,2
43,25,7.5,0,0,1,2
44,0,10,0,0,1,2
45,2.5,10,0,0,1,2
46,5,10,0,0,1,2
47,7.5,10,0,0,1,2
48,10,10,0,0,1,2
49,12.5,10,0,0,1,2
50,15,10,0,0,1,2
51,17.5,10,0,0,1,2
52,20,10,0,0,1,2
53,22.5,10,0,0,1,2
54,25,10,0,0,1,2
55,0,12.5,0,0,1,2
56,2.5,12.5,0,0,1,2
57,5,12.5,0,0,1,2
58,7.5,12.5,0,0,1,2
59,10,12.5,0,0,1,2
60,12.5,12.5,0,0,1,2
61,15,12.5,0,0,1,2
62,17.5,12.5,0,0,1,2
63,20,12.5,0,0,1,2
64,22.5,12.5,0,0,1,2
65,25,12.5,0,0,1,2
66,0,15,0,0,1,2
67,2.5,15,0,0,1,2
68,5,15,0,0,1,2
69,7.5,15,0,0,1,2
70,10,15,0,0,1,2
71,12.5,15,0,0,1,2
72,15,15,0,0,1,2
73,17.5,15,0,0,1,2
74,20,15,0,0,1,2
75,22.5,15,0,0,1,2
76,25,15,0,0,1,2
77,0,17.5,0,0,1,2
78,2.5,17.5,0,0,1,2
79,5,17.5,0,0,1,2
80,7.5,17.5,0,0,1,2
81,10,17.5,0,0,1,2
82,12.5,17.5,0,0,1,2
83,15,17.5,0,0,1,2
84,17.5,17.5,0,0,1,2
85,20,17.5,0,0,1,2
86,22.5,17.5,0,0,1,2
87,25,17.5,0,0,1,2
88,0,20,0,0,1,2
89,2.5,20,0,0,1,2
90,5,20,0,0,1,2
91,7.5,20,0,0,1,2
92,10,20,0,0,1,2
93,12.5,20,0,0,1,2
94,15,20,0,0,1,2
95,17.5,20,0,0,1,2
96,20,20,0,0,1,2
97,22.5,20,0,0,1,2
98,25,20,0,0,1,2
99,0,22.5,0,0,1,2
100,2.5,22.5,0,0,1,2
101,5,22.5,0,0,1,2
102,7.5,22.5,0,0,1,2
103,10,22.5,0,0,1,2
104,12.5,22.5,0,0,1,2
105,15,22.5,0,0,1,2
106,17.5,22.5,0,0,1,2
107,20,22.5,0,0,1,2
108,22.5,22.5,0,0,1,2
109,25,22.5,0,0,1,2
110,0,25,0,0,1,2
111,2.5,25,0,0,1,2
112,5,25,0,0,1,2
113,7.5,25,0,0,1,2
114,10,25,0,0,1,2
115,12.5,25,0,0,1,2
116,15,25,0,0,1,2
117,17.5,25,0,0,1,2
118,20,25,0,0,1,2
119,22.5,25,0,0,1,2
120,25,25,0,0,1,2
121,0,27.5,0,0,1,2
122,2.5,27.5,0,0,1,2
123,5,27.5,0,0,1,2
124,7.5,27.5,0,0,1,2
125,10,27.5,0,0,1,2
126,12.5,27.5,0,0,1,2
127,15,27.5,0,0,1,2
128,17.5,27.5,0,0,1,2
129,20,27.5,0,0,1,2
130,22.5,27.5,0,0,1,2
131,25,27.5,0,0,1,2
132,0,30,0,0,1,2
133,2.5,30,0,0,1,2
134,5,30,0,0,1,2
135,7.5,30,0,0,1,2
136,10,30,0,0,1,2
137,12.5,30,0,0,1,2
138,15,30,0,0,1,2
139,17.5,30,0,0,1,2
140,20,30,0,0,1,2
141,22.5,30,0,0,1,2
142,25,30,0,0,1,2
143,0,32.5,0,0,1,2
144,2.5,32.5,0,0,1,2
145,5,32.5,0,0,1,2
146,7.5,32.5,0,0,1,2
147,10,32.5,0,0,1,2
148,12.5,32.5,0,0,1,2
149,15,32.5,0,0,1,2
150,17.5,32.5,0,0,1,2
151,20,32.5,0,0,1,2
152,22.5,32.5,0,0,1,2
153,25,32.5,0,0,1,2
154,0,35,0,0,1,2
155,2.5,35,0,0,1,2
156,5,35,0,0,1,2
157,7.5,35,0,0,1,2
158,10,35,0,0,1,2
159,12.5,35,0,0,1,2
160,15,35,0,0,1,2
161,17.5,35,0,0,1,2
162,20,35,0,0,1,2
163,22.5,35,0,0,1,2
164,25,35,0,0,1,2
165,0,37.5,0,0,1,2
166,2.5,37.5,0,0,1,2
167,5,37.5,0,0,1,2
168,7.5,37.5,0,0,1,2
169,10,37.5,0,0,1,2
170,12.5,37.5,0,0,1,2
171,15,37.5,0,0,1,2
172,17.5,37.5,0,0,1,2
173,20,37.5,0,0,1,2
174,22.5,37.5,0,0,1,2
175,25,37.5,0,0,1,2
176,0,40,0,0,1,2
177,2.5,40,0,0,1,2
178,5,40,0,0,1,2
179,7.5,40,0,0,1,2
180,10,40,0,0,1,2
181,12.5,40,0,0,1,2
182,15,40,0,0,1,2
183,17.5,40,0,0,1,2
184,20,40,0,0,1,2
185,22.5,40,0,0,1,2
186,25,40,0,0,1,2
187,0,42.5,0,0,1,2
188,2.5,42.5,0,0,1,2
189,5,42.5,0,0,1,2
190,7.5,42.5,0,0,1,2
191,10,42.5,0,0,1,2
192,12.5,42.5,0,0,1,2
193,15,42.5,0,0,1,2
194,17.5,42.5,0,0,1,2
195,20,42.5,0,0,1,2
196,22.5,42.5,0,0,1,2
197,25,42.5,0,0,1,2
198,0,45,0,0,1,2
199,2.5,45,0,0,1,2
200,5,45,0,0,1,2
201,7.5,45,0,0,1,2
202,10,45,0,0,1,2
203,12.5,45,0,0,1,2
204,15,45,0,0,1,2
205,17.5,45,0,0,1,2
206,20,45,0,0,1,2
207,22.5,45,0,0,1,2
208,25,45,0,0,1,2
209,0,47.5,0,0,1,2
210,2.5,47.5,0,0,1,2
211,5,47.5,0,0,1,2
212,7.5,47.5,0,0,1,2
213,10,47.5,0,0,1,2
214,12.5,47.5,0,0,1,2
215,15,47.5,0,0,1,2
216,17.5,47.5,0,0,1,2
217,20,47.5,0,0,1,2
218,22.5,47.5,0,0,1,2
219,25,47.5,0,0,1,2
220,0,50,0,0,1,2
221,2.5,50,0,0,1,2
222,5,50,0,0,1,2
223,7.5,50,0,0,1,2
224,10,50,0,0,1,2
225,12.5,50,0,0,1,2
226,15,50,0,0,1,2
227,17.5,50,0,0,1,2
228,20,50,0,0,1,2
229,22.5,50,0,0,1,2
230,25,50,0,0,1,2
231,0,52.5,0,0,1,2
232,2.5,52.5,0,0,1,2
233,5,52.5,0,0,1,2
234,7.5,52.5,0,0,1,2
