ID,IDP,NON,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19
0,0,20,0,1,102,101,2121,2122,2223,2222,12726,12727,12728,12729,12730,12731,12732,12733,12734,12735,12736,12737
1,1,20,2121,2122,2223,2222,4242,4243,4344,4343,12730,12731,12732,12733,12738,12739,12740,12741,12742,12743,12744,12745
2,2,20,4242,4243,4344,4343,6363,6364,6465,6464,12738,12739,12740,12741,12746,12747,12748,12749,12750,12751,12752,12753
3,3,20,6363,6364,6465,6464,8484,8485,8586,8585,12746,12747,12748,12749,12754,12755,12756,12757,12758,12759,12760,12761
4,4,20,8484,8485,8586,8585,10605,10606,10707,10706,12754,12755,12756,12757,12762,12763,12764,12765,12766,12767,12768,12769
5,5,20,101,102,203,202,2222,2223,2324,2323,12728,12770,12771,12772,12732,12773,12774,12775,12737,12736,12776,12777
6,6,20,2222,2223,2324,2323,4343,4344,4445,4444,12732,12773,12774,12775,12740,12778,12779,12780,12745,12744,12781,12782
7,7,20,4343,4344,4445,4444,6464,6465,6566,6565,12740,12778,12779,12780,12748,12783,12784,12785,12753,12752,12786,12787
8,8,20,6464,6465,6566,6565,8585,8586,8687,8686,12748,12783,12784,12785,12756,12788,12789,12790,12761,12760,12791,12792
9,9,20,8585,8586,8687,8686,10706,10707,10808,10807,12756,12788,12789,12790,12764,12793,12794,12795,12769,12768,12796,12797
10,10,20,202,203,304,303,2323,2324,2425,2424,12771,12798,12799,12800,12774,12801,12802,12803,12777,12776,12804,12805
11,11,20,2323,2324,2425,2424,4444,4445,4546,4545,12774,12801,12802,12803,12779,12806,12807,12808,12782,12781,12809,12810
12,12,20,4444,4445,4546,4545,6565,6566,6667,6666,12779,12806,12807,12808,12784,12811,12812,12813,12787,12786,12814,12815
13,13,20,6565,6566,6667,6666,8686,8687,8788,8787,12784,12811,12812,12813,12789,12816,12817,12818,12792,12791,12819,12820
14,14,20,8686,8687,8788,8787,10807,10808,10909,10908,12789,12816,12817,12818,12794,12821,12822,12823,12797,12796,12824,12825
15,15,20,303,304,405,404,2424,2425,2526,2525,12799,12826,12827,12828,12802,12829,12830,12831,12805,12804,12832,12833
16,16,20,2424,2425,2526,2525,4545,4546,4647,4646,12802,12829,12830,12831,12807,12834,12835,12836,12810,12809,12837,12838
17,17,20,4545,4546,4647,4646,6666,6667,6768,6767,12807,12834,12835,12836,12812,12839,12840,12841,12815,12814,12842,12843
18,18,20,6666,6667,6768,6767,8787,8788,8889,8888,12812,12839,12840,12841,12817,12844,12845,12846,12820,12819,12847,12848
19,19,20,8787,8788,8889,8888,10908,10909,11010,11009,12817,12844,12845,12846,12822,12849,12850,12851,12825,12824,12852,12853
20,20,20,404,405,506,505,2525,2526,2627,2626,12827,12854,12855,12856,12830,12857,12858,12859,12833,12832,12860,12861
21,21,20,2525,2526,2627,2626,4646,4647,4748,4747,12830,12857,12858,12859,12835,12862,12863,12864,12838,12837,12865,12866
22,22,20,4646,4647,4748,4747,6767,6768,6869,6868,12835,12862,12863,12864,12840,12867,12868,12869,12843,12842,12870,12871
23,23,20,6767,6768,6869,6868,8888,8889,8990,8989,12840,12867,12868,12869,12845,12872,12873,12874,12848,12847,12875,12876
24,24,20,8888,8889,8990,8989,11009,11010,11111,11110,12845,12872,12873,12874,12850,12877,12878,12879,12853,12852,12880,12881
25,25,20,505,506,607,606,2626,2627,2728,2727,12855,12882,12883,12884,12858,12885,12886,12887,12861,12860,12888,12889
26,26,20,2626,2627,2728,2727,4747,4748,4849,4848,12858,12885,12886,12887,12863,12890,12891,12892,12866,12865,12893,12894
27,27,20,4747,4748,4849,4848,6868,6869,6970,6969,12863,12890,12891,12892,12868,12895,12896,12897,12871,12870,12898,12899
28,28,20,6868,6869,6970,6969,8989,8990,9091,9090,12868,12895,12896,12897,12873,12900,12901,12902,12876,12875,12903,12904
29,29,20,8989,8990,9091,9090,11110,11111,11212,11211,12873,12900,12901,12902,12878,12905,12906,12907,12881,12880,12908,12909
30,30,20,606,607,708,707,2727,2728,2829,2828,12883,12910,12911,12912,12886,12913,12914,12915,12889,12888,12916,12917
31,31,20,2727,2728,2829,2828,4848,4849,4950,4949,12886,12913,12914,12915,12891,12918,12919,12920,12894,12893,12921,12922
32,32,20,4848,4849,4950,4949,6969,6970,7071,7070,12891,12918,12919,12920,12896,12923,12924,12925,12899,12898,12926,12927
33,33,20,6969,6970,7071,7070,9090,9091,9192,9191,12896,12923,12924,12925,12901,12928,12929,12930,12904,12903,12931,12932
