Point ID,Points:0,Points:1,Points:2
0,0,0,0
101,0,2.5,0
202,0,5,0
303,0,7.5,0
404,0,10,0
505,0,12.5,0
606,0,15,0
707,0,17.5,0
808,0,20,0
909,0,22.5,0
1010,0,25,0
1111,0,27.5,0
1212,0,30,0
1313,0,32.5,0
1414,0,35,0
1515,0,37.5,0
1616,0,40,0
1717,0,42.5,0
1818,0,45,0
1919,0,47.5,0
2020,0,50,0
2121,0,0,2.5
2222,0,2.5,2.5
2323,0,5,2.5
2424,0,7.5,2.5
2525,0,10,2.5
2626,0,12.5,2.5
2727,0,15,2.5
2828,0,17.5,2.5
2929,0,20,2.5
3030,0,22.5,2.5
3131,0,25,2.5
3232,0,27.5,2.5
3333,0,30,2.5
3434,0,32.5,2.5
3535,0,35,2.5
3636,0,37.5,2.5
3737,0,40,2.5
3838,0,42.5,2.5
3939,0,45,2.5
4040,0,47.5,2.5
4141,0,50,2.5
4242,0,0,5
4343,0,2.5,5
4444,0,5,5
4545,0,7.5,5
4646,0,10,5
4747,0,12.5,5
4848,0,15,5
4949,0,17.5,5
5050,0,20,5
5151,0,22.5,5
5252,0,25,5
5353,0,27.5,5
5454,0,30,5
5555,0,32.5,5
5656,0,35,5
5757,0,37.5,5
5858,0,40,5
5959,0,42.5,5
6060,0,45,5
6161,0,47.5,5
6262,0,50,5
6363,0,0,7.5
6464,0,2.5,7.5
6565,0,5,7.5
6666,0,7.5,7.5
6767,0,10,7.5
6868,0,12.5,7.5
6969,0,15,7.5
7070,0,17.5,7.5
7171,0,20,7.5
7272,0,22.5,7.5
7373,0,25,7.5
7474,0,27.5,7.5
7575,0,30,7.5
7676,0,32.5,7.5
7777,0,35,7.5
7878,0,37.5,7.5
7979,0,40,7.5
8080,0,42.5,7.5
8181,0,45,7.5
8282,0,47.5,7.5
8383,0,50,7.5
8484,0,0,10
8585,0,2.5,10
8686,0,5,10
8787,0,7.5,10
8888,0,10,10
8989,0,12.5,10
9090,0,15,10
9191,0,17.5,10
9292,0,20,10
9393,0,22.5,10
9494,0,25,10
9595,0,27.5,10
9696,0,30,10
9797,0,32.5,10
9898,0,35,10
9999,0,37.5,10
10100,0,40,10
10201,0,42.5,10
10302,0,45,10
10403,0,47.5,10
10504,0,50,10
10605,0,0,12.5
10706,0,2.5,12.5
10807,0,5,12.5
10908,0,7.5,12.5
11009,0,10,12.5
11110,0,12.5,12.5
11211,0,15,12.5
11312,0,17.5,12.5
11413,0,20,12.5
11514,0,22.5,12.5
11615,0,25,12.5
11716,0,27.5,12.5
11817,0,30,12.5
