id,idn,u0,u1,u2
0,0,0,0,0
1,86,0,0,0
2,174,0,0,0
3,260,0,0,0
4,1182,0,0,0
5,1268,0,0,0
6,1354,0,0,0
7,1442,0,0,0
8,1528,0,0,0
9,1614,0,0,0
10,1702,0,0,0
11,1788,0,0,0
12,2872,0,0,0
13,2958,0,0,0
14,3044,0,0,0
15,3132,0,0,0
16,3218,0,0,0
17,3303,0,0,0
18,3390,0,0,0
19,3468,0,0,0
20,4042,0,0,0
21,4112,0,0,0
22,4190,0,0,0
23,4277,0,0,0
24,4362,0,0,0
25,4447,0,0,0
26,4534,0,0,0
27,4612,0,0,0
28,5186,0,0,0
29,5256,0,0,0
30,5334,0,0,0
31,5421,0,0,0
32,5506,0,0,0
33,5592,0,0,0
34,5680,0,0,0
35,5766,0,0,0
36,6850,0,0,0
37,6936,0,0,0
38,7022,0,0,0
39,7110,0,0,0
40,7196,0,0,0
41,7282,0,0,0
42,7370,0,0,0
43,7456,0,0,0
44,8378,0,0,0
45,8464,0,0,0
46,8550,0,0,0
47,8638,0,0,0
48,8727,0,0,0
49,8731,0,0,0
50,8732,0,0,0
51,8735,0,0,0
52,8739,0,0,0
53,8740,0,0,0
54,8743,0,0,0
55,8747,0,0,0
56,8748,0,0,0
57,8751,0,0,0
58,8755,0,0,0
59,8756,0,0,0
60,8759,0,0,0
61,8763,0,0,0
62,8764,0,0,0
63,8767,0,0,0
64,8770,0,0,0
65,8773,0,0,0
66,8775,0,0,0
67,8778,0,0,0
68,8780,0,0,0
69,8783,0,0,0
70,8785,0,0,0
71,8788,0,0,0
72,8790,0,0,0
73,8793,0,0,0
74,8795,0,0,0
75,8798,0,0,0
76,8801,0,0,0
77,8803,0,0,0
78,8806,0,0,0
79,8808,0,0,0
80,8811,0,0,0
81,8813,0,0,0
82,8816,0,0,0
83,8818,0,0,0
84,8821,0,0,0
85,8823,0,0,0
86,8827,0,0,0
87,8830,0,0,0
88,8833,0,0,0
89,8836,0,0,0
90,8839,0,0,0
91,8842,0,0,0
92,8845,0,0,0
93,8847,0,0,0
94,8850,0,0,0
95,8852,0,0,0
96,8855,0,0,0
97,8857,0,0,0
98,8860,0,0,0
99,8862,0,0,0
100,8865,0,0,0
101,8867,0,0,0
102,8870,0,0,0
103,8873,0,0,0
104,8875,0,0,0
105,8878,0,0,0
106,8880,0,0,0
107,8883,0,0,0
108,8885,0,0,0
109,8888,0,0,0
110,8890,0,0,0
111,8893,0,0,0
112,8895,0,0,0
113,8898,0,0,0
114,8901,0,0,0
115,8903,0,0,0
116,8906,0,0,0
117,8908,0,0,0
118,8911,0,0,0
119,8913,0,0,0
120,8916,0,0,0
121,8918,0,0,0
122,8921,0,0,0
123,8923,0,0,0
