ID,x0,x1,x2,u0,u1,u2
0,0,0,0,0,1,2
1,2.5,0,0,0,1,2
2,5,0,0,0,1,2
3,7.5,0,0,0,1,2
4,10,0,0,0,1,2
5,12.5,0,0,0,1,2
6,15,0,0,0,1,2
7,17.5,0,0,0,1,2
8,20,0,0,0,1,2
9,22.5,0,0,0,1,2
10,25,0,0,0,1,2
11,27.5,0,0,0,1,2
12,30,0,0,0,1,2
13,32.5,0,0,0,1,2
14,35,0,0,0,1,2
15,37.5,0,0,0,1,2
16,40,0,0,0,1,2
17,42.5,0,0,0,1,2
18,45,0,0,0,1,2
19,47.5,0,0,0,1,2
20,50,0,0,0,1,2
21,52.5,0,0,0,1,2
22,55,0,0,0,1,2
23,57.5,0,0,0,1,2
24,60,0,0,0,1,2
25,62.5,0,0,0,1,2
26,65,0,0,0,1,2
27,67.5,0,0,0,1,2
28,70,0,0,0,1,2
29,72.5,0,0,0,1,2
30,75,0,0,0,1,2
31,77.5,0,0,0,1,2
32,80,0,0,0,1,2
33,82.5,0,0,0,1,2
34,85,0,0,0,1,2
35,87.5,0,0,0,1,2
36,90,0,0,0,1,2
37,92.5,0,0,0,1,2
38,95,0,0,0,1,2
39,97.5,0,0,0,1,2
40,100,0,0,0,1,2
41,102.5,0,0,0,1,2
42,105,0,0,0,1,2
43,107.5,0,0,0,1,2
44,110,0,0,0,1,2
45,112.5,0,0,0,1,2
46,115,0,0,0,1,2
47,117.5,0,0,0,1,2
48,120,0,0,0,1,2
49,122.5,0,0,0,1,2
50,125,0,0,0,1,2
51,127.5,0,0,0,1,2
52,130,0,0,0,1,2
53,132.5,0,0,0,1,2
54,135,0,0,0,1,2
55,137.5,0,0,0,1,2
56,140,0,0,0,1,2
57,142.5,0,0,0,1,2
58,145,0,0,0,1,2
59,147.5,0,0,0,1,2
60,150,0,0,0,1,2
61,152.5,0,0,0,1,2
62,155,0,0,0,1,2
63,157.5,0,0,0,1,2
64,160,0,0,0,1,2
65,162.5,0,0,0,1,2
66,165,0,0,0,1,2
67,167.5,0,0,0,1,2
68,170,0,0,0,1,2
69,172.5,0,0,0,1,2
70,175,0,0,0,1,2
71,177.5,0,0,0,1,2
72,180,0,0,0,1,2
73,182.5,0,0,0,1,2
74,185,0,0,0,1,2
75,187.5,0,0,0,1,2
76,190,0,0,0,1,2
77,192.5,0,0,0,1,2
78,195,0,0,0,1,2
79,197.5,0,0,0,1,2
80,200,0,0,0,1,2
81,202.5,0,0,0,1,2
82,205,0,0,0,1,2
83,207.5,0,0,0,1,2
84,210,0,0,0,1,2
85,212.5,0,0,0,1,2
86,0,2.5,0,0,1,2
87,2.5,2.5,0,0,1,2
88,5,2.5,0,0,1,2
89,7.5,2.5,0,0,1,2
90,10,2.5,0,0,1,2
91,12.5,2.5,0,0,1,2
92,15,2.5,0,0,1,2
93,17.5,2.5,0,0,1,2
94,20,2.5,0,0,1,2
95,22.5,2.5,0,0,1,2
96,25,2.5,0,0,1,2
97,27.5,2.5,0,0,1,2
98,30,2.5,0,0,1,2
99,32.5,2.5,0,0,1,2
100,35,2.5,0,0,1,2
101,37.5,2.5,0,0,1,2
102,40,2.5,0,0,1,2
103,42.5,2.5,0,0,1,2
104,45,2.5,0,0,1,2
105,47.5,2.5,0,0,1,2
106,50,2.5,0,0,1,2
107,52.5,2.5,0,0,1,2
108,55,2.5,0,0,1,2
109,57.5,2.5,0,0,1,2
110,60,2.5,0,0,1,2
111,62.5,2.5,0,0,1,2
112,65,2.5,0,0,1,2
113,67.5,2.5,0,0,1,2
114,70,2.5,0,0,1,2
115,72.5,2.5,0,0,1,2
116,75,2.5,0,0,1,2
117,77.5,2.5,0,0,1,2
118,80,2.5,0,0,1,2
119,82.5,2.5,0,0,1,2
120,85,2.5,0,0,1,2
121,87.5,2.5,0,0,1,2
122,90,2.5,0,0,1,2
123,92.5,2.5,0,0,1,2
124,95,2.5,0,0,1,2
125,97.5,2.5,0,0,1,2
126,100,2.5,0,0,1,2
127,102.5,2.5,0,0,1,2
128,105,2.5,0,0,1,2
129,107.5,2.5,0,0,1,2
130,110,2.5,0,0,1,2
131,112.5,2.5,0,0,1,2
132,115,2.5,0,0,1,2
133,117.5,2.5,0,0,1,2
134,120,2.5,0,0,1,2
135,122.5,2.5,0,0,1,2
136,125,2.5,0,0,1,2
137,127.5,2.5,0,0,1,2
138,130,2.5,0,0,1,2
139,132.5,2.5,0,0,1,2
140,135,2.5,0,0,1,2
141,137.5,2.5,0,0,1,2
142,140,2.5,0,0,1,2
143,142.5,2.5,0,0,1,2
144,145,2.5,0,0,1,2
145,147.5,2.5,0,0,1,2
146,150,2.5,0,0,1,2
147,152.5,2.5,0,0,1,2
148,155,2.5,0,0,1,2
149,157.5,2.5,0,0,1,2
150,160,2.5,0,0,1,2
151,162.5,2.5,0,0,1,2
152,165,2.5,0,0,1,2
153,167.5,2.5,0,0,1,2
154,170,2.5,0,0,1,2
155,172.5,2.5,0,0,1,2
156,175,2.5,0,0,1,2
157,177.5,2.5,0,0,1,2
158,180,2.5,0,0,1,2
159,182.5,2.5,0,0,1,2
160,185,2.5,0,0,1,2
161,187.5,2.5,0,0,1,2
162,190,2.5,0,0,1,2
163,192.5,2.5,0,0,1,2
164,195,2.5,0,0,1,2
165,197.5,2.5,0,0,1,2
166,200,2.5,0,0,1,2
167,202.5,2.5,0,0,1,2
168,205,2.5,0,0,1,2
169,207.5,2.5,0,0,1,2
170,210,2.5,0,0,1,2
171,212.5,2.5,0,0,1,2
172,215,2.5,0,0,1,2
173,217.5,2.5,0,0,1,2
174,0,5,0,0,1,2
175,2.5,5,0,0,1,2
176,5,5,0,0,1,2
177,7.5,5,0,0,1,2
178,10,5,0,0,1,2
179,12.5,5,0,0,1,2
180,15,5,0,0,1,2
181,17.5,5,0,0,1,2
182,20,5,0,0,1,2
183,22.5,5,0,0,1,2
184,25,5,0,0,1,2
185,27.5,5,0,0,1,2
186,30,5,0,0,1,2
187,32.5,5,0,0,1,2
188,35,5,0,0,1,2
189,37.5,5,0,0,1,2
190,40,5,0,0,1,2
191,42.5,5,0,0,1,2
192,45,5,0,0,1,2
193,47.5,5,0,0,1,2
194,50,5,0,0,1,2
195,52.5,5,0,0,1,2
196,55,5,0,0,1,2
197,57.5,5,0,0,1,2
198,60,5,0,0,1,2
199,62.5,5,0,0,1,2
200,65,5,0,0,1,2
201,67.5,5,0,0,1,2
202,70,5,0,0,1,2
203,72.5,5,0,0,1,2
204,75,5,0,0,1,2
205,77.5,5,0,0,1,2
206,80,5,0,0,1,2
207,82.5,5,0,0,1,2
208,85,5,0,0,1,2
209,87.5,5,0,0,1,2
210,90,5,0,0,1,2
211,92.5,5,0,0,1,2
212,95,5,0,0,1,2
213,97.5,5,0,0,1,2
214,100,5,0,0,1,2
215,102.5,5,0,0,1,2
216,105,5,0,0,1,2
217,107.5,5,0,0,1,2
218,110,5,0,0,1,2
219,112.5,5,0,0,1,2
220,115,5,0,0,1,2
221,117.5,5,0,0,1,2
222,120,5,0,0,1,2
223,122.5,5,0,0,1,2
224,125,5,0,0,1,2
225,127.5,5,0,0,1,2
226,130,5,0,0,1,2
227,132.5,5,0,0,1,2
228,135,5,0,0,1,2
229,137.5,5,0,0,1,2
230,140,5,0,0,1,2
231,142.5,5,0,0,1,2
232,145,5,0,0,1,2
233,147.5,5,0,0,1,2
234,150,5,0,0,1,2
235,152.5,5,0,0,1,2
236,155,5,0,0,1,2
