ID,x0,x1,u0,u1
0,0,0,0,1
1,0,2.5,0,1
2,0,5,0,1
3,0,7.5,0,1
4,0,10,0,1
5,0,12.5,0,1
6,0,15,0,1
7,0,17.5,0,1
8,0,20,0,1
9,0,22.5,0,1
10,0,25,0,1
11,0,27.5,0,1
12,0,30,0,1
13,0,32.5,0,1
14,0,35,0,1
15,0,37.5,0,1
16,0,40,0,1
17,0,42.5,0,1
18,0,45,0,1
19,0,47.5,0,1
20,0,50,0,1
21,0,52.5,0,1
22,0,55,0,1
23,0,57.5,0,1
24,0,60,0,1
25,0,62.5,0,1
26,0,65,0,1
27,0,67.5,0,1
28,0,70,0,1
29,0,72.5,0,1
30,0,75,0,1
31,0,77.5,0,1
32,0,80,0,1
33,0,82.5,0,1
34,0,85,0,1
35,0,87.5,0,1
36,0,90,0,1
37,0,92.5,0,1
38,0,95,0,1
39,0,97.5,0,1
40,0,100,0,1
41,2.5,0,0,1
42,2.5,2.5,0,1
43,2.5,5,0,1
44,2.5,7.5,0,1
45,2.5,10,0,1
46,2.5,12.5,0,1
47,2.5,15,0,1
48,2.5,17.5,0,1
49,2.5,20,0,1
50,2.5,22.5,0,1
51,2.5,25,0,1
52,2.5,27.5,0,1
53,2.5,30,0,1
54,2.5,32.5,0,1
55,2.5,35,0,1
56,2.5,37.5,0,1
57,2.5,40,0,1
58,2.5,42.5,0,1
59,2.5,45,0,1
60,2.5,47.5,0,1
61,2.5,50,0,1
62,2.5,52.5,0,1
63,2.5,55,0,1
64,2.5,57.5,0,1
65,2.5,60,0,1
66,2.5,62.5,0,1
67,2.5,65,0,1
68,2.5,67.5,0,1
69,2.5,70,0,1
70,2.5,72.5,0,1
71,2.5,75,0,1
72,2.5,77.5,0,1
73,2.5,80,0,1
74,2.5,82.5,0,1
75,2.5,85,0,1
76,2.5,87.5,0,1
77,2.5,90,0,1
78,2.5,92.5,0,1
79,2.5,95,0,1
80,2.5,97.5,0,1
81,2.5,100,0,1
82,5,0,0,1
83,5,2.5,0,1
84,5,5,0,1
85,5,7.5,0,1
86,5,10,0,1
87,5,12.5,0,1
88,5,15,0,1
89,5,17.5,0,1
90,5,20,0,1
91,5,22.5,0,1
92,5,25,0,1
93,5,27.5,0,1
94,5,30,0,1
95,5,32.5,0,1
96,5,35,0,1
97,5,37.5,0,1
98,5,40,0,1
99,5,42.5,0,1
100,5,45,0,1
101,5,47.5,0,1
102,5,50,0,1
103,5,52.5,0,1
104,5,55,0,1
105,5,57.5,0,1
106,5,60,0,1
107,5,62.5,0,1
108,5,65,0,1
109,5,67.5,0,1
110,5,70,0,1
111,5,72.5,0,1
112,5,75,0,1
113,5,77.5,0,1
114,5,80,0,1
115,5,82.5,0,1
116,5,85,0,1
117,5,87.5,0,1
118,5,90,0,1
119,5,92.5,0,1
120,5,95,0,1
121,5,97.5,0,1
122,5,100,0,1
123,7.5,0,0,1
124,7.5,2.5,0,1
125,7.5,5,0,1
126,7.5,7.5,0,1
127,7.5,10,0,1
128,7.5,12.5,0,1
129,7.5,15,0,1
130,7.5,17.5,0,1
131,7.5,20,0,1
132,7.5,22.5,0,1
133,7.5,25,0,1
134,7.5,27.5,0,1
135,7.5,30,0,1
136,7.5,32.5,0,1
137,7.5,35,0,1
138,7.5,37.5,0,1
139,7.5,40,0,1
140,7.5,42.5,0,1
141,7.5,45,0,1
142,7.5,47.5,0,1
143,7.5,50,0,1
144,7.5,52.5,0,1
145,7.5,55,0,1
146,7.5,57.5,0,1
147,7.5,60,0,1
148,7.5,62.5,0,1
149,7.5,65,0,1
150,7.5,67.5,0,1
151,7.5,70,0,1
152,7.5,72.5,0,1
153,7.5,75,0,1
154,7.5,77.5,0,1
155,7.5,80,0,1
156,7.5,82.5,0,1
157,7.5,85,0,1
158,7.5,87.5,0,1
159,7.5,90,0,1
160,7.5,92.5,0,1
161,7.5,95,0,1
162,7.5,97.5,0,1
163,7.5,100,0,1
164,10,0,0,1
165,10,2.5,0,1
166,10,5,0,1
167,10,7.5,0,1
168,10,10,0,1
169,10,12.5,0,1
170,10,15,0,1
171,10,17.5,0,1
172,10,20,0,1
173,10,22.5,0,1
174,10,25,0,1
175,10,27.5,0,1
176,10,30,0,1
177,10,32.5,0,1
178,10,35,0,1
179,10,37.5,0,1
180,10,40,0,1
181,10,42.5,0,1
182,10,45,0,1
183,10,47.5,0,1
184,10,50,0,1
185,10,52.5,0,1
186,10,55,0,1
187,10,57.5,0,1
188,10,60,0,1
189,10,62.5,0,1
190,10,65,0,1
191,10,67.5,0,1
192,10,70,0,1
193,10,72.5,0,1
194,10,75,0,1
195,10,77.5,0,1
196,10,80,0,1
197,10,82.5,0,1
198,10,85,0,1
