ID,x0,x1
0,0.0,0.0
1,0.0,2.5
2,0.0,5.0
3,0.0,7.5
4,0.0,10.0
5,0.0,12.5
6,0.0,15.0
7,0.0,17.5
8,0.0,20.0
9,0.0,22.5
10,0.0,25.0
11,0.0,27.5
12,0.0,30.0
13,0.0,32.5
14,0.0,35.0
15,0.0,37.5
16,0.0,40.0
17,0.0,42.5
18,0.0,45.0
19,0.0,47.5
20,0.0,50.0
21,0.0,52.5
22,0.0,55.0
23,0.0,57.5
24,0.0,60.0
25,0.0,62.5
26,0.0,65.0
27,0.0,67.5
28,0.0,70.0
29,0.0,72.5
30,0.0,75.0
31,0.0,77.5
32,0.0,80.0
33,0.0,82.5
34,0.0,85.0
35,0.0,87.5
36,0.0,90.0
37,0.0,92.5
38,0.0,95.0
39,0.0,97.5
40,0.0,100.0
41,0.0,102.5
42,0.0,105.0
43,0.0,107.5
44,0.0,110.0
45,0.0,112.5
46,0.0,115.0
47,0.0,117.5
48,0.0,120.0
49,0.0,122.5
50,0.0,125.0
51,0.0,127.5
52,0.0,130.0
53,0.0,132.5
54,0.0,135.0
55,0.0,137.5
56,0.0,140.0
57,0.0,142.5
58,0.0,145.0
59,0.0,147.5
60,0.0,150.0
61,0.0,152.5
62,0.0,155.0
63,0.0,157.5
64,0.0,160.0
65,0.0,162.5
66,0.0,165.0
67,0.0,167.5
68,0.0,170.0
69,0.0,172.5
70,0.0,175.0
71,0.0,177.5
72,0.0,180.0
73,0.0,182.5
74,0.0,185.0
75,0.0,187.5
76,0.0,190.0
77,0.0,192.5
78,0.0,195.0
79,0.0,197.5
80,0.0,200.0
81,0.0,202.5
82,0.0,205.0
83,0.0,207.5
84,0.0,210.0
85,0.0,212.5
86,0.0,215.0
87,0.0,217.5
88,0.0,220.0
89,0.0,222.5
90,0.0,225.0
91,0.0,227.5
92,0.0,230.0
93,0.0,232.5
94,0.0,235.0
95,0.0,237.5
96,0.0,240.0
97,0.0,242.5
98,0.0,245.0
99,0.0,247.5
100,0.0,250.0
101,2.5,0.0
102,2.5,2.5
103,2.5,5.0
104,2.5,7.5
105,2.5,10.0
106,2.5,12.5
107,2.5,15.0
108,2.5,17.5
109,2.5,20.0
110,2.5,22.5
111,2.5,25.0
112,2.5,27.5
113,2.5,30.0
114,2.5,32.5
115,2.5,35.0
116,2.5,37.5
117,2.5,40.0
118,2.5,42.5
119,2.5,45.0
120,2.5,47.5
121,2.5,50.0
122,2.5,52.5
123,2.5,55.0
124,2.5,57.5
125,2.5,60.0
126,2.5,62.5
127,2.5,65.0
128,2.5,67.5
129,2.5,70.0
130,2.5,72.5
131,2.5,75.0
132,2.5,77.5
133,2.5,80.0
134,2.5,82.5
135,2.5,85.0
136,2.5,87.5
137,2.5,90.0
138,2.5,92.5
139,2.5,95.0
140,2.5,97.5
141,2.5,100.0
142,2.5,102.5
143,2.5,105.0
144,2.5,107.5
145,2.5,110.0
146,2.5,112.5
147,2.5,115.0
148,2.5,117.5
149,2.5,120.0
150,2.5,122.5
151,2.5,125.0
152,2.5,127.5
153,2.5,130.0
154,2.5,132.5
155,2.5,135.0
156,2.5,137.5
157,2.5,140.0
158,2.5,142.5
159,2.5,145.0
160,2.5,147.5
161,2.5,150.0
162,2.5,152.5
163,2.5,155.0
164,2.5,157.5
165,2.5,160.0
166,2.5,162.5
167,2.5,165.0
168,2.5,167.5
169,2.5,170.0
170,2.5,172.5
171,2.5,175.0
172,2.5,177.5
173,2.5,180.0
174,2.5,182.5
175,2.5,185.0
176,2.5,187.5
177,2.5,190.0
178,2.5,192.5
179,2.5,195.0
180,2.5,197.5
181,2.5,200.0
182,2.5,202.5
183,2.5,205.0
184,2.5,207.5
185,2.5,210.0
186,2.5,212.5
187,2.5,215.0
188,2.5,217.5
189,2.5,220.0
190,2.5,222.5
191,2.5,225.0
192,2.5,227.5
193,2.5,230.0
194,2.5,232.5
195,2.5,235.0
196,2.5,237.5
197,2.5,240.0
198,2.5,242.5
199,2.5,245.0
200,2.5,247.5
201,2.5,250.0
202,5.0,0.0
203,5.0,2.5
204,5.0,5.0
205,5.0,7.5
206,5.0,10.0
207,5.0,12.5
208,5.0,15.0
209,5.0,17.5
210,5.0,20.0
211,5.0,22.5
212,5.0,25.0
213,5.0,27.5
214,5.0,30.0
215,5.0,32.5
216,5.0,35.0
217,5.0,37.5
218,5.0,40.0
219,5.0,42.5
220,5.0,45.0
221,5.0,47.5
222,5.0,50.0
223,5.0,52.5
224,5.0,55.0
225,5.0,57.5
226,5.0,60.0
227,5.0,62.5
228,5.0,65.0
229,5.0,67.5
230,5.0,70.0
231,5.0,72.5
232,5.0,75.0
233,5.0,77.5
234,5.0,80.0
235,5.0,82.5
236,5.0,85.0
237,5.0,87.5
238,5.0,90.0
239,5.0,92.5
240,5.0,95.0
241,5.0,97.5
242,5.0,100.0
243,5.0,102.5
244,5.0,105.0
245,5.0,107.5
246,5.0,110.0
247,5.0,112.5
248,5.0,115.0
249,5.0,117.5
250,5.0,120.0
251,5.0,122.5
252,5.0,125.0
253,5.0,127.5
254,5.0,130.0
255,5.0,132.5
256,5.0,135.0
257,5.0,137.5
258,5.0,140.0
259,5.0,142.5
260,5.0,145.0
261,5.0,147.5
262,5.0,150.0
263,5.0,152.5
264,5.0,155.0
265,5.0,157.5
266,5.0,160.0
267,5.0,162.5
268,5.0,165.0
269,5.0,167.5
270,5.0,170.0
271,5.0,172.5
272,5.0,175.0
273,5.0,177.5
274,5.0,180.0
275,5.0,182.5
276,5.0,185.0
277,5.0,187.5
278,5.0,190.0
279,5.0,192.5
280,5.0,195.0
281,5.0,197.5
282,5.0,200.0
283,5.0,202.5
284,5.0,205.0
285,5.0,207.5
286,5.0,210.0
287,5.0,212.5
288,5.0,215.0
289,5.0,217.5
290,5.0,220.0
291,5.0,222.5
292,5.0,225.0
293,5.0,227.5
294,5.0,230.0
295,5.0,232.5
296,5.0,235.0
297,5.0,237.5
298,5.0,240.0
299,5.0,242.5
300,5.0,245.0
301,5.0,247.5
302,5.0,250.0
303,7.5,0.0
304,7.5,2.5
305,7.5,5.0
306,7.5,7.5
307,7.5,10.0
308,7.5,12.5
309,7.5,15.0
310,7.5,17.5
311,7.5,20.0
312,7.5,22.5
313,7.5,25.0
314,7.5,27.5
315,7.5,30.0
316,7.5,32.5
317,7.5,35.0
318,7.5,37.5
319,7.5,40.0
320,7.5,42.5
321,7.5,45.0
322,7.5,47.5
323,7.5,50.0
324,7.5,52.5
325,7.5,55.0
326,7.5,57.5
327,7.5,60.0
328,7.5,62.5
329,7.5,65.0
330,7.5,67.5
331,7.5,70.0
332,7.5,72.5
333,7.5,75.0
334,7.5,77.5
335,7.5,80.0
336,7.5,82.5
337,7.5,85.0
338,7.5,87.5
339,7.5,90.0
340,7.5,92.5
341,7.5,95.0
342,7.5,97.5
343,7.5,100.0
344,7.5,102.5
345,7.5,105.0
346,7.5,107.5
347,7.5,110.0
348,7.5,112.5
349,7.5,115.0
350,7.5,117.5
351,7.5,120.0
352,7.5,122.5
353,7.5,125.0
354,7.5,127.5
355,7.5,130.0
356,7.5,132.5
357,7.5,135.0
358,7.5,137.5
359,7.5,140.0
360,7.5,142.5
