id,s,dmax,dmin,L,E,ƒÏ
0,0.7,0.4,0.0001,2.5,210000,1.77
1,0.7,0.4,0.0001,2.5,210000,1.77
2,0.7,0.4,0.0001,2.5,210000,1.77
3,0.7,0.4,0.0001,2.5,210000,1.77
4,0.7,0.4,0.0001,2.5,210000,1.77
5,0.7,0.4,0.0001,2.5,210000,1.77
6,0.7,0.4,0.0001,2.5,210000,1.77
7,0.7,0.4,0.0001,2.5,210000,1.77
8,0.7,0.4,0.0001,2.5,210000,1.77
9,0.7,0.4,0.0001,2.5,210000,1.77
10,0.7,0.4,0.0001,2.5,210000,1.77
11,0.7,0.4,0.0001,2.5,210000,1.77
12,0.7,0.4,0.0001,2.5,210000,1.77
13,0.7,0.4,0.0001,2.5,210000,1.77
14,0.7,0.4,0.0001,2.5,210000,1.77
15,0.7,0.4,0.0001,2.5,210000,1.77
16,0.7,0.4,0.0001,2.5,210000,1.77
17,0.7,0.4,0.0001,2.5,210000,1.77
18,0.7,0.4,0.0001,2.5,210000,1.77
19,0.7,0.4,0.0001,2.5,210000,1.77
20,0.7,0.4,0.0001,2.5,210000,1.77
21,0.7,0.4,0.0001,2.5,210000,1.77
22,0.7,0.4,0.0001,2.5,210000,1.77
23,0.7,0.4,0.0001,2.5,210000,1.77
24,0.7,0.4,0.0001,2.5,210000,1.77
25,0.7,0.4,0.0001,2.5,210000,1.77
26,0.7,0.4,0.0001,2.5,210000,1.77
27,0.7,0.4,0.0001,2.5,210000,1.77
28,0.7,0.4,0.0001,2.5,210000,1.77
29,0.7,0.4,0.0001,2.5,210000,1.77
30,0.7,0.4,0.0001,2.5,210000,1.77
31,0.7,0.4,0.0001,2.5,210000,1.77
32,0.7,0.4,0.0001,2.5,210000,1.77
33,0.7,0.4,0.0001,2.5,210000,1.77
34,0.7,0.4,0.0001,2.5,210000,1.77
35,0.7,0.4,0.0001,2.5,210000,1.77
36,0.7,0.4,0.0001,2.5,210000,1.77
37,0.7,0.4,0.0001,2.5,210000,1.77
38,0.7,0.4,0.0001,2.5,210000,1.77
39,0.7,0.4,0.0001,2.5,210000,1.77
40,0.7,0.4,0.0001,2.5,210000,1.77
41,0.7,0.4,0.0001,2.5,210000,1.77
42,0.7,0.4,0.0001,2.5,210000,1.77
43,0.7,0.4,0.0001,2.5,210000,1.77
44,0.7,0.4,0.0001,2.5,210000,1.77
45,0.7,0.4,0.0001,2.5,210000,1.77
46,0.7,0.4,0.0001,2.5,210000,1.77
47,0.7,0.4,0.0001,2.5,210000,1.77
48,0.7,0.4,0.0001,2.5,210000,1.77
49,0.7,0.4,0.0001,2.5,210000,1.77
50,0.7,0.4,0.0001,2.5,210000,1.77
51,0.7,0.4,0.0001,2.5,210000,1.77
52,0.7,0.4,0.0001,2.5,210000,1.77
53,0.7,0.4,0.0001,2.5,210000,1.77
54,0.7,0.4,0.0001,2.5,210000,1.77
55,0.7,0.4,0.0001,2.5,210000,1.77
56,0.7,0.4,0.0001,2.5,210000,1.77
57,0.7,0.4,0.0001,2.5,210000,1.77
58,0.7,0.4,0.0001,2.5,210000,1.77
59,0.7,0.4,0.0001,2.5,210000,1.77
60,0.7,0.4,0.0001,2.5,210000,1.77
61,0.7,0.4,0.0001,2.5,210000,1.77
62,0.7,0.4,0.0001,2.5,210000,1.77
63,0.7,0.4,0.0001,2.5,210000,1.77
64,0.7,0.4,0.0001,2.5,210000,1.77
65,0.7,0.4,0.0001,2.5,210000,1.77
66,0.7,0.4,0.0001,2.5,210000,1.77
67,0.7,0.4,0.0001,2.5,210000,1.77
68,0.7,0.4,0.0001,2.5,210000,1.77
69,0.7,0.4,0.0001,2.5,210000,1.77
70,0.7,0.4,0.0001,2.5,210000,1.77
71,0.7,0.4,0.0001,2.5,210000,1.77
72,0.7,0.4,0.0001,2.5,210000,1.77
73,0.7,0.4,0.0001,2.5,210000,1.77
74,0.7,0.4,0.0001,2.5,210000,1.77
75,0.7,0.4,0.0001,2.5,210000,1.77
76,0.7,0.4,0.0001,2.5,210000,1.77
77,0.7,0.4,0.0001,2.5,210000,1.77
78,0.7,0.4,0.0001,2.5,210000,1.77
79,0.7,0.4,0.0001,2.5,210000,1.77
80,0.7,0.4,0.0001,2.5,210000,1.77
81,0.7,0.4,0.0001,2.5,210000,1.77
82,0.7,0.4,0.0001,2.5,210000,1.77
83,0.7,0.4,0.0001,2.5,210000,1.77
84,0.7,0.4,0.0001,2.5,210000,1.77
85,0.7,0.4,0.0001,2.5,210000,1.77
86,0.7,0.4,0.0001,2.5,210000,1.77
87,0.7,0.4,0.0001,2.5,210000,1.77
88,0.7,0.4,0.0001,2.5,210000,1.77
89,0.7,0.4,0.0001,2.5,210000,1.77
90,0.7,0.4,0.0001,2.5,210000,1.77
91,0.7,0.4,0.0001,2.5,210000,1.77
92,0.7,0.4,0.0001,2.5,210000,1.77
93,0.7,0.4,0.0001,2.5,210000,1.77
94,0.7,0.4,0.0001,2.5,210000,1.77
95,0.7,0.4,0.0001,2.5,210000,1.77
96,0.7,0.4,0.0001,2.5,210000,1.77
97,0.7,0.4,0.0001,2.5,210000,1.77
98,0.7,0.4,0.0001,2.5,210000,1.77
99,0.7,0.4,0.0001,2.5,210000,1.77
100,0.7,0.4,0.0001,2.5,210000,1.77
101,0.7,0.4,0.0001,2.5,210000,1.77
102,0.7,0.4,0.0001,2.5,210000,1.77
103,0.7,0.4,0.0001,2.5,210000,1.77
104,0.7,0.4,0.0001,2.5,210000,1.77
105,0.7,0.4,0.0001,2.5,210000,1.77
106,0.7,0.4,0.0001,2.5,210000,1.77
107,0.7,0.4,0.0001,2.5,210000,1.77
108,0.7,0.4,0.0001,2.5,210000,1.77
109,0.7,0.4,0.0001,2.5,210000,1.77
110,0.7,0.4,0.0001,2.5,210000,1.77
111,0.7,0.4,0.0001,2.5,210000,1.77
112,0.7,0.4,0.0001,2.5,210000,1.77
113,0.7,0.4,0.0001,2.5,210000,1.77
114,0.7,0.4,0.0001,2.5,210000,1.77
115,0.7,0.4,0.0001,2.5,210000,1.77
116,0.7,0.4,0.0001,2.5,210000,1.77
117,0.7,0.4,0.0001,2.5,210000,1.77
118,0.7,0.4,0.0001,2.5,210000,1.77
119,0.7,0.4,0.0001,2.5,210000,1.77
120,0.7,0.4,0.0001,2.5,210000,1.77
121,0.7,0.4,0.0001,2.5,210000,1.77
122,0.7,0.4,0.0001,2.5,210000,1.77
123,0.7,0.4,0.0001,2.5,210000,1.77
124,0.7,0.4,0.0001,2.5,210000,1.77
125,0.7,0.4,0.0001,2.5,210000,1.77
126,0.7,0.4,0.0001,2.5,210000,1.77
127,0.7,0.4,0.0001,2.5,210000,1.77
128,0.7,0.4,0.0001,2.5,210000,1.77
129,0.7,0.4,0.0001,2.5,210000,1.77
130,0.7,0.4,0.0001,2.5,210000,1.77
131,0.7,0.4,0.0001,2.5,210000,1.77
132,0.7,0.4,0.0001,2.5,210000,1.77
133,0.7,0.4,0.0001,2.5,210000,1.77
134,0.7,0.4,0.0001,2.5,210000,1.77
135,0.7,0.4,0.0001,2.5,210000,1.77
136,0.7,0.4,0.0001,2.5,210000,1.77
137,0.7,0.4,0.0001,2.5,210000,1.77
138,0.7,0.4,0.0001,2.5,210000,1.77
139,0.7,0.4,0.0001,2.5,210000,1.77
140,0.7,0.4,0.0001,2.5,210000,1.77
141,0.7,0.4,0.0001,2.5,210000,1.77
142,0.7,0.4,0.0001,2.5,210000,1.77
143,0.7,0.4,0.0001,2.5,210000,1.77
144,0.7,0.4,0.0001,2.5,210000,1.77
145,0.7,0.4,0.0001,2.5,210000,1.77
146,0.7,0.4,0.0001,2.5,210000,1.77
147,0.7,0.4,0.0001,2.5,210000,1.77
148,0.7,0.4,0.0001,2.5,210000,1.77
149,0.7,0.4,0.0001,2.5,210000,1.77
150,0.7,0.4,0.0001,2.5,210000,1.77
151,0.7,0.4,0.0001,2.5,210000,1.77
152,0.7,0.4,0.0001,2.5,210000,1.77
153,0.7,0.4,0.0001,2.5,210000,1.77
154,0.7,0.4,0.0001,2.5,210000,1.77
155,0.7,0.4,0.0001,2.5,210000,1.77
156,0.7,0.4,0.0001,2.5,210000,1.77
157,0.7,0.4,0.0001,2.5,210000,1.77
158,0.7,0.4,0.0001,2.5,210000,1.77
159,0.7,0.4,0.0001,2.5,210000,1.77
160,0.7,0.4,0.0001,2.5,210000,1.77
161,0.7,0.4,0.0001,2.5,210000,1.77
162,0.7,0.4,0.0001,2.5,210000,1.77
163,0.7,0.4,0.0001,2.5,210000,1.77
164,0.7,0.4,0.0001,2.5,210000,1.77
165,0.7,0.4,0.0001,2.5,210000,1.77
166,0.7,0.4,0.0001,2.5,210000,1.77
167,0.7,0.4,0.0001,2.5,210000,1.77
168,0.7,0.4,0.0001,2.5,210000,1.77
169,0.7,0.4,0.0001,2.5,210000,1.77
170,0.7,0.4,0.0001,2.5,210000,1.77
171,0.7,0.4,0.0001,2.5,210000,1.77
172,0.7,0.4,0.0001,2.5,210000,1.77
173,0.7,0.4,0.0001,2.5,210000,1.77
174,0.7,0.4,0.0001,2.5,210000,1.77
175,0.7,0.4,0.0001,2.5,210000,1.77
176,0.7,0.4,0.0001,2.5,210000,1.77
177,0.7,0.4,0.0001,2.5,210000,1.77
178,0.7,0.4,0.0001,2.5,210000,1.77
179,0.7,0.4,0.0001,2.5,210000,1.77
180,0.7,0.4,0.0001,2.5,210000,1.77
181,0.7,0.4,0.0001,2.5,210000,1.77
182,0.7,0.4,0.0001,2.5,210000,1.77
183,0.7,0.4,0.0001,2.5,210000,1.77
184,0.7,0.4,0.0001,2.5,210000,1.77
185,0.7,0.4,0.0001,2.5,210000,1.77
186,0.7,0.4,0.0001,2.5,210000,1.77
187,0.7,0.4,0.0001,2.5,210000,1.77
188,0.7,0.4,0.0001,2.5,210000,1.77
189,0.7,0.4,0.0001,2.5,210000,1.77
190,0.7,0.4,0.0001,2.5,210000,1.77
191,0.7,0.4,0.0001,2.5,210000,1.77
192,0.7,0.4,0.0001,2.5,210000,1.77
193,0.7,0.4,0.0001,2.5,210000,1.77
194,0.7,0.4,0.0001,2.5,210000,1.77
195,0.7,0.4,0.0001,2.5,210000,1.77
196,0.7,0.4,0.0001,2.5,210000,1.77
197,0.7,0.4,0.0001,2.5,210000,1.77
198,0.7,0.4,0.0001,2.5,210000,1.77
199,0.7,0.4,0.0001,2.5,210000,1.77
200,0.7,0.4,0.0001,2.5,210000,1.77
201,0.7,0.4,0.0001,2.5,210000,1.77
202,0.7,0.4,0.0001,2.5,210000,1.77
203,0.7,0.4,0.0001,2.5,210000,1.77
204,0.7,0.4,0.0001,2.5,210000,1.77
205,0.7,0.4,0.0001,2.5,210000,1.77
206,0.7,0.4,0.0001,2.5,210000,1.77
207,0.7,0.4,0.0001,2.5,210000,1.77
208,0.7,0.4,0.0001,2.5,210000,1.77
209,0.7,0.4,0.0001,2.5,210000,1.77
210,0.7,0.4,0.0001,2.5,210000,1.77
211,0.7,0.4,0.0001,2.5,210000,1.77
212,0.7,0.4,0.0001,2.5,210000,1.77
213,0.7,0.4,0.0001,2.5,210000,1.77
214,0.7,0.4,0.0001,2.5,210000,1.77
215,0.7,0.4,0.0001,2.5,210000,1.77
216,0.7,0.4,0.0001,2.5,210000,1.77
217,0.7,0.4,0.0001,2.5,210000,1.77
218,0.7,0.4,0.0001,2.5,210000,1.77
219,0.7,0.4,0.0001,2.5,210000,1.77
220,0.7,0.4,0.0001,2.5,210000,1.77
221,0.7,0.4,0.0001,2.5,210000,1.77
222,0.7,0.4,0.0001,2.5,210000,1.77
223,0.7,0.4,0.0001,2.5,210000,1.77
224,0.7,0.4,0.0001,2.5,210000,1.77
225,0.7,0.4,0.0001,2.5,210000,1.77
226,0.7,0.4,0.0001,2.5,210000,1.77
227,0.7,0.4,0.0001,2.5,210000,1.77
228,0.7,0.4,0.0001,2.5,210000,1.77
229,0.7,0.4,0.0001,2.5,210000,1.77
230,0.7,0.4,0.0001,2.5,210000,1.77
231,0.7,0.4,0.0001,2.5,210000,1.77
232,0.7,0.4,0.0001,2.5,210000,1.77
233,0.7,0.4,0.0001,2.5,210000,1.77
234,0.7,0.4,0.0001,2.5,210000,1.77
235,0.7,0.4,0.0001,2.5,210000,1.77
236,0.7,0.4,0.0001,2.5,210000,1.77
237,0.7,0.4,0.0001,2.5,210000,1.77
238,0.7,0.4,0.0001,2.5,210000,1.77
239,0.7,0.4,0.0001,2.5,210000,1.77
240,0.7,0.4,0.0001,2.5,210000,1.77
241,0.7,0.4,0.0001,2.5,210000,1.77
242,0.7,0.4,0.0001,2.5,210000,1.77
243,0.7,0.4,0.0001,2.5,210000,1.77
244,0.7,0.4,0.0001,2.5,210000,1.77
245,0.7,0.4,0.0001,2.5,210000,1.77
246,0.7,0.4,0.0001,2.5,210000,1.77
247,0.7,0.4,0.0001,2.5,210000,1.77
248,0.7,0.4,0.0001,2.5,210000,1.77
249,0.7,0.4,0.0001,2.5,210000,1.77
250,0.7,0.4,0.0001,2.5,210000,1.77
251,0.7,0.4,0.0001,2.5,210000,1.77
252,0.7,0.4,0.0001,2.5,210000,1.77
253,0.7,0.4,0.0001,2.5,210000,1.77
254,0.7,0.4,0.0001,2.5,210000,1.77
255,0.7,0.4,0.0001,2.5,210000,1.77
256,0.7,0.4,0.0001,2.5,210000,1.77
257,0.7,0.4,0.0001,2.5,210000,1.77
258,0.7,0.4,0.0001,2.5,210000,1.77
259,0.7,0.4,0.0001,2.5,210000,1.77
260,0.7,0.4,0.0001,2.5,210000,1.77
261,0.7,0.4,0.0001,2.5,210000,1.77
262,0.7,0.4,0.0001,2.5,210000,1.77
263,0.7,0.4,0.0001,2.5,210000,1.77
264,0.7,0.4,0.0001,2.5,210000,1.77
265,0.7,0.4,0.0001,2.5,210000,1.77
266,0.7,0.4,0.0001,2.5,210000,1.77
267,0.7,0.4,0.0001,2.5,210000,1.77
268,0.7,0.4,0.0001,2.5,210000,1.77
269,0.7,0.4,0.0001,2.5,210000,1.77
270,0.7,0.4,0.0001,2.5,210000,1.77
271,0.7,0.4,0.0001,2.5,210000,1.77
272,0.7,0.4,0.0001,2.5,210000,1.77
273,0.7,0.4,0.0001,2.5,210000,1.77
274,0.7,0.4,0.0001,2.5,210000,1.77
275,0.7,0.4,0.0001,2.5,210000,1.77
276,0.7,0.4,0.0001,2.5,210000,1.77
277,0.7,0.4,0.0001,2.5,210000,1.77
278,0.7,0.4,0.0001,2.5,210000,1.77
279,0.7,0.4,0.0001,2.5,210000,1.77
280,0.7,0.4,0.0001,2.5,210000,1.77
281,0.7,0.4,0.0001,2.5,210000,1.77
282,0.7,0.4,0.0001,2.5,210000,1.77
283,0.7,0.4,0.0001,2.5,210000,1.77
284,0.7,0.4,0.0001,2.5,210000,1.77
285,0.7,0.4,0.0001,2.5,210000,1.77
286,0.7,0.4,0.0001,2.5,210000,1.77
287,0.7,0.4,0.0001,2.5,210000,1.77
288,0.7,0.4,0.0001,2.5,210000,1.77
289,0.7,0.4,0.0001,2.5,210000,1.77
290,0.7,0.4,0.0001,2.5,210000,1.77
291,0.7,0.4,0.0001,2.5,210000,1.77
292,0.7,0.4,0.0001,2.5,210000,1.77
293,0.7,0.4,0.0001,2.5,210000,1.77
294,0.7,0.4,0.0001,2.5,210000,1.77
295,0.7,0.4,0.0001,2.5,210000,1.77
296,0.7,0.4,0.0001,2.5,210000,1.77
297,0.7,0.4,0.0001,2.5,210000,1.77
298,0.7,0.4,0.0001,2.5,210000,1.77
299,0.7,0.4,0.0001,2.5,210000,1.77
300,0.7,0.4,0.0001,2.5,210000,1.77
301,0.7,0.4,0.0001,2.5,210000,1.77
302,0.7,0.4,0.0001,2.5,210000,1.77
303,0.7,0.4,0.0001,2.5,210000,1.77
304,0.7,0.4,0.0001,2.5,210000,1.77
305,0.7,0.4,0.0001,2.5,210000,1.77
306,0.7,0.4,0.0001,2.5,210000,1.77
307,0.7,0.4,0.0001,2.5,210000,1.77
308,0.7,0.4,0.0001,2.5,210000,1.77
309,0.7,0.4,0.0001,2.5,210000,1.77
310,0.7,0.4,0.0001,2.5,210000,1.77
311,0.7,0.4,0.0001,2.5,210000,1.77
312,0.7,0.4,0.0001,2.5,210000,1.77
313,0.7,0.4,0.0001,2.5,210000,1.77
314,0.7,0.4,0.0001,2.5,210000,1.77
315,0.7,0.4,0.0001,2.5,210000,1.77
316,0.7,0.4,0.0001,2.5,210000,1.77
317,0.7,0.4,0.0001,2.5,210000,1.77
318,0.7,0.4,0.0001,2.5,210000,1.77
