id,ide,ƒÏ,Emax,Emin,ƒË
0,0,0.7,210000,0.01,0.3
1,1,0.7,210000,0.01,0.3
2,2,0.7,210000,0.01,0.3
3,3,0.7,210000,0.01,0.3
4,4,0.7,210000,0.01,0.3
5,5,0.7,210000,0.01,0.3
6,6,0.7,210000,0.01,0.3
7,7,0.7,210000,0.01,0.3
8,8,0.7,210000,0.01,0.3
9,9,0.7,210000,0.01,0.3
10,10,0.7,210000,0.01,0.3
11,11,0.7,210000,0.01,0.3
12,12,0.7,210000,0.01,0.3
13,13,0.7,210000,0.01,0.3
14,14,0.7,210000,0.01,0.3
15,15,0.7,210000,0.01,0.3
16,16,0.7,210000,0.01,0.3
17,17,0.7,210000,0.01,0.3
18,18,0.7,210000,0.01,0.3
19,19,0.7,210000,0.01,0.3
20,20,0.7,210000,0.01,0.3
21,21,0.7,210000,0.01,0.3
22,22,0.7,210000,0.01,0.3
23,23,0.7,210000,0.01,0.3
24,24,0.7,210000,0.01,0.3
25,25,0.7,210000,0.01,0.3
26,26,0.7,210000,0.01,0.3
27,27,0.7,210000,0.01,0.3
28,28,0.7,210000,0.01,0.3
29,29,0.7,210000,0.01,0.3
30,30,0.7,210000,0.01,0.3
31,31,0.7,210000,0.01,0.3
32,32,0.7,210000,0.01,0.3
33,33,0.7,210000,0.01,0.3
34,34,0.7,210000,0.01,0.3
35,35,0.7,210000,0.01,0.3
36,36,0.7,210000,0.01,0.3
37,37,0.7,210000,0.01,0.3
38,38,0.7,210000,0.01,0.3
39,39,0.7,210000,0.01,0.3
40,40,0.7,210000,0.01,0.3
41,41,0.7,210000,0.01,0.3
42,42,0.7,210000,0.01,0.3
43,43,0.7,210000,0.01,0.3
44,44,0.7,210000,0.01,0.3
45,45,0.7,210000,0.01,0.3
46,46,0.7,210000,0.01,0.3
47,47,0.7,210000,0.01,0.3
48,48,0.7,210000,0.01,0.3
49,49,0.7,210000,0.01,0.3
50,50,0.7,210000,0.01,0.3
51,51,0.7,210000,0.01,0.3
52,52,0.7,210000,0.01,0.3
53,53,0.7,210000,0.01,0.3
54,54,0.7,210000,0.01,0.3
55,55,0.7,210000,0.01,0.3
56,56,0.7,210000,0.01,0.3
57,57,0.7,210000,0.01,0.3
58,58,0.7,210000,0.01,0.3
59,59,0.7,210000,0.01,0.3
60,60,0.7,210000,0.01,0.3
61,61,0.7,210000,0.01,0.3
62,62,0.7,210000,0.01,0.3
63,63,0.7,210000,0.01,0.3
64,64,0.7,210000,0.01,0.3
65,65,0.7,210000,0.01,0.3
66,66,0.7,210000,0.01,0.3
67,67,0.7,210000,0.01,0.3
68,68,0.7,210000,0.01,0.3
69,69,0.7,210000,0.01,0.3
70,70,0.7,210000,0.01,0.3
71,71,0.7,210000,0.01,0.3
72,72,0.7,210000,0.01,0.3
73,73,0.7,210000,0.01,0.3
