id,idn,u0,u1
0,0,0,0
1,199,0,0
2,398,0,0
3,597,0,0
4,796,0,0
5,995,0,0
6,1194,0,0
7,1393,0,0
8,1592,0,0
9,1791,0,0
10,1990,0,0
11,2189,0,0
12,2388,0,0
13,2587,0,0
14,2786,0,0
15,2985,0,0
16,3184,0,0
17,3383,0,0
18,3582,0,0
19,3781,0,0
20,3980,0,0
21,4179,0,0
22,4378,0,0
23,4577,0,0
24,4776,0,0
25,4975,0,0
26,5174,0,0
27,5373,0,0
28,5572,0,0
29,5771,0,0
30,5970,0,0
31,6169,0,0
32,6368,0,0
33,6567,0,0
34,6766,0,0
35,6965,0,0
36,7164,0,0
37,7363,0,0
38,7562,0,0
39,7761,0,0
40,7960,0,0
41,8159,0,0
42,8358,0,0
43,8557,0,0
44,8756,0,0
45,8955,0,0
46,9154,0,0
47,9353,0,0
48,9552,0,0
49,9751,0,0
