id,idn,u0,u1
0,0,0,free
1,1,0,free
2,2,0,free
3,3,0,free
4,4,0,free
5,5,0,free
6,6,0,free
7,7,0,free
8,8,0,free
9,9,0,free
10,10,0,free
11,11,0,free
12,12,0,free
13,13,0,free
14,14,0,free
15,15,0,free
16,16,0,free
17,17,0,free
18,18,0,free
19,19,0,free
20,20,0,0
21,21,0,free
22,22,0,free
23,23,0,free
24,24,0,free
25,25,0,free
26,26,0,free
27,27,0,free
28,28,0,free
29,29,0,free
30,30,0,free
31,31,0,free
32,32,0,free
33,33,0,free
34,34,0,free
35,35,0,free
36,36,0,free
37,37,0,free
38,38,0,free
39,39,0,free
40,40,0,free
