ID,x0,x1,u0,u1
0,0,0,0,1
1,0,1,0,1
2,0,2,0,1
3,0,3,0,1
4,0,4,0,1
5,0,5,0,1
6,0,6,0,1
7,0,7,0,1
8,0,8,0,1
9,0,9,0,1
10,0,10,0,1
11,0,11,0,1
12,0,12,0,1
13,0,13,0,1
14,0,14,0,1
15,0,15,0,1
16,0,16,0,1
17,0,17,0,1
18,0,18,0,1
19,0,19,0,1
20,0,20,0,1
21,0,21,0,1
22,0,22,0,1
23,0,23,0,1
24,0,24,0,1
25,0,25,0,1
26,0,26,0,1
27,0,27,0,1
28,0,28,0,1
29,0,29,0,1
30,0,30,0,1
31,0,31,0,1
32,0,32,0,1
33,0,33,0,1
34,0,34,0,1
35,0,35,0,1
36,0,36,0,1
37,0,37,0,1
38,0,38,0,1
39,0,39,0,1
40,0,40,0,1
41,1,0,0,1
42,1,1,0,1
43,1,2,0,1
44,1,3,0,1
45,1,4,0,1
46,1,5,0,1
47,1,6,0,1
48,1,7,0,1
49,1,8,0,1
50,1,9,0,1
51,1,10,0,1
52,1,11,0,1
53,1,12,0,1
54,1,13,0,1
55,1,14,0,1
56,1,15,0,1
57,1,16,0,1
58,1,17,0,1
59,1,18,0,1
60,1,19,0,1
61,1,20,0,1
62,1,21,0,1
63,1,22,0,1
64,1,23,0,1
65,1,24,0,1
66,1,25,0,1
67,1,26,0,1
68,1,27,0,1
69,1,28,0,1
70,1,29,0,1
71,1,30,0,1
72,1,31,0,1
73,1,32,0,1
74,1,33,0,1
75,1,34,0,1
76,1,35,0,1
77,1,36,0,1
78,1,37,0,1
79,1,38,0,1
80,1,39,0,1
81,1,40,0,1
82,2,0,0,1
83,2,1,0,1
84,2,2,0,1
85,2,3,0,1
86,2,4,0,1
87,2,5,0,1
88,2,6,0,1
89,2,7,0,1
90,2,8,0,1
91,2,9,0,1
92,2,10,0,1
93,2,11,0,1
94,2,12,0,1
95,2,13,0,1
96,2,14,0,1
97,2,15,0,1
98,2,16,0,1
99,2,17,0,1
100,2,18,0,1
101,2,19,0,1
102,2,20,0,1
103,2,21,0,1
104,2,22,0,1
105,2,23,0,1
106,2,24,0,1
107,2,25,0,1
108,2,26,0,1
109,2,27,0,1
110,2,28,0,1
111,2,29,0,1
112,2,30,0,1
113,2,31,0,1
114,2,32,0,1
115,2,33,0,1
116,2,34,0,1
117,2,35,0,1
118,2,36,0,1
119,2,37,0,1
120,2,38,0,1
121,2,39,0,1
122,2,40,0,1
123,3,0,0,1
124,3,1,0,1
125,3,2,0,1
126,3,3,0,1
127,3,4,0,1
128,3,5,0,1
129,3,6,0,1
130,3,7,0,1
131,3,8,0,1
132,3,9,0,1
133,3,10,0,1
134,3,11,0,1
135,3,12,0,1
136,3,13,0,1
137,3,14,0,1
138,3,15,0,1
139,3,16,0,1
140,3,17,0,1
141,3,18,0,1
142,3,19,0,1
143,3,20,0,1
144,3,21,0,1
145,3,22,0,1
146,3,23,0,1
147,3,24,0,1
148,3,25,0,1
149,3,26,0,1
150,3,27,0,1
151,3,28,0,1
152,3,29,0,1
153,3,30,0,1
154,3,31,0,1
155,3,32,0,1
156,3,33,0,1
157,3,34,0,1
158,3,35,0,1
159,3,36,0,1
160,3,37,0,1
161,3,38,0,1
162,3,39,0,1
163,3,40,0,1
164,4,0,0,1
165,4,1,0,1
166,4,2,0,1
167,4,3,0,1
168,4,4,0,1
169,4,5,0,1
170,4,6,0,1
171,4,7,0,1
172,4,8,0,1
173,4,9,0,1
174,4,10,0,1
175,4,11,0,1
176,4,12,0,1
177,4,13,0,1
178,4,14,0,1
179,4,15,0,1
180,4,16,0,1
181,4,17,0,1
182,4,18,0,1
183,4,19,0,1
184,4,20,0,1
185,4,21,0,1
186,4,22,0,1
187,4,23,0,1
