id,ide,E,ƒË,t,rho
0,0,210000,0,0.01,7.80E-06
1,1,210000,0,0.01,7.80E-06
2,2,210000,0,0.01,7.80E-06
3,3,210000,0,0.01,7.80E-06
4,4,210000,0,0.01,7.80E-06
5,5,210000,0,0.01,7.80E-06
6,6,210000,0,0.01,7.80E-06
7,7,210000,0,0.01,7.80E-06
8,8,210000,0,0.01,7.80E-06
9,9,210000,0,0.01,7.80E-06
10,10,210000,0,0.01,7.80E-06
11,11,210000,0,0.01,7.80E-06
12,12,210000,0,0.01,7.80E-06
13,13,210000,0,0.01,7.80E-06
14,14,210000,0,0.01,7.80E-06
15,15,210000,0,0.01,7.80E-06
16,16,210000,0,0.01,7.80E-06
17,17,210000,0,0.01,7.80E-06
18,18,210000,0,0.01,7.80E-06
19,19,210000,0,0.01,7.80E-06
20,20,210000,0,0.01,7.80E-06
21,21,210000,0,0.01,7.80E-06
22,22,210000,0,0.01,7.80E-06
23,23,210000,0,0.01,7.80E-06
24,24,210000,0,0.01,7.80E-06
25,25,210000,0,0.01,7.80E-06
26,26,210000,0,0.01,7.80E-06
27,27,210000,0,0.01,7.80E-06
28,28,210000,0,0.01,7.80E-06
29,29,210000,0,0.01,7.80E-06
30,30,210000,0,0.01,7.80E-06
31,31,210000,0,0.01,7.80E-06
32,32,210000,0,0.01,7.80E-06
33,33,210000,0,0.01,7.80E-06
34,34,210000,0,0.01,7.80E-06
35,35,210000,0,0.01,7.80E-06
36,36,210000,0,0.01,7.80E-06
37,37,210000,0,0.01,7.80E-06
38,38,210000,0,0.01,7.80E-06
39,39,210000,0,0.01,7.80E-06
40,40,210000,0,0.01,7.80E-06
41,41,210000,0,0.01,7.80E-06
42,42,210000,0,0.01,7.80E-06
43,43,210000,0,0.01,7.80E-06
44,44,210000,0,0.01,7.80E-06
45,45,210000,0,0.01,7.80E-06
46,46,210000,0,0.01,7.80E-06
47,47,210000,0,0.01,7.80E-06
48,48,210000,0,0.01,7.80E-06
49,49,210000,0,0.01,7.80E-06
50,50,210000,0,0.01,7.80E-06
51,51,210000,0,0.01,7.80E-06
52,52,210000,0,0.01,7.80E-06
53,53,210000,0,0.01,7.80E-06
54,54,210000,0,0.01,7.80E-06
55,55,210000,0,0.01,7.80E-06
56,56,210000,0,0.01,7.80E-06
57,57,210000,0,0.01,7.80E-06
58,58,210000,0,0.01,7.80E-06
59,59,210000,0,0.01,7.80E-06
60,60,210000,0,0.01,7.80E-06
61,61,210000,0,0.01,7.80E-06
62,62,210000,0,0.01,7.80E-06
63,63,210000,0,0.01,7.80E-06
64,64,210000,0,0.01,7.80E-06
65,65,210000,0,0.01,7.80E-06
66,66,210000,0,0.01,7.80E-06
67,67,210000,0,0.01,7.80E-06
68,68,210000,0,0.01,7.80E-06
69,69,210000,0,0.01,7.80E-06
70,70,210000,0,0.01,7.80E-06
71,71,210000,0,0.01,7.80E-06
72,72,210000,0,0.01,7.80E-06
73,73,210000,0,0.01,7.80E-06
74,74,210000,0,0.01,7.80E-06
75,75,210000,0,0.01,7.80E-06
76,76,210000,0,0.01,7.80E-06
77,77,210000,0,0.01,7.80E-06
78,78,210000,0,0.01,7.80E-06
79,79,210000,0,0.01,7.80E-06
80,80,210000,0,0.01,7.80E-06
81,81,210000,0,0.01,7.80E-06
82,82,210000,0,0.01,7.80E-06
83,83,210000,0,0.01,7.80E-06
84,84,210000,0,0.01,7.80E-06
85,85,210000,0,0.01,7.80E-06
86,86,210000,0,0.01,7.80E-06
87,87,210000,0,0.01,7.80E-06
88,88,210000,0,0.01,7.80E-06
89,89,210000,0,0.01,7.80E-06
90,90,210000,0,0.01,7.80E-06
91,91,210000,0,0.01,7.80E-06
92,92,210000,0,0.01,7.80E-06
93,93,210000,0,0.01,7.80E-06
94,94,210000,0,0.01,7.80E-06
95,95,210000,0,0.01,7.80E-06
96,96,210000,0,0.01,7.80E-06
97,97,210000,0,0.01,7.80E-06
98,98,210000,0,0.01,7.80E-06
99,99,210000,0,0.01,7.80E-06
100,100,210000,0,0.01,7.80E-06
101,101,210000,0,0.01,7.80E-06
102,102,210000,0,0.01,7.80E-06
103,103,210000,0,0.01,7.80E-06
104,104,210000,0,0.01,7.80E-06
105,105,210000,0,0.01,7.80E-06
106,106,210000,0,0.01,7.80E-06
107,107,210000,0,0.01,7.80E-06
108,108,210000,0,0.01,7.80E-06
109,109,210000,0,0.01,7.80E-06
110,110,210000,0,0.01,7.80E-06
111,111,210000,0,0.01,7.80E-06
112,112,210000,0,0.01,7.80E-06
113,113,210000,0,0.01,7.80E-06
114,114,210000,0,0.01,7.80E-06
115,115,210000,0,0.01,7.80E-06
116,116,210000,0,0.01,7.80E-06
117,117,210000,0,0.01,7.80E-06
118,118,210000,0,0.01,7.80E-06
119,119,210000,0,0.01,7.80E-06
120,120,210000,0,0.01,7.80E-06
121,121,210000,0,0.01,7.80E-06
122,122,210000,0,0.01,7.80E-06
123,123,210000,0,0.01,7.80E-06
124,124,210000,0,0.01,7.80E-06
125,125,210000,0,0.01,7.80E-06
126,126,210000,0,0.01,7.80E-06
127,127,210000,0,0.01,7.80E-06
128,128,210000,0,0.01,7.80E-06
129,129,210000,0,0.01,7.80E-06
130,130,210000,0,0.01,7.80E-06
131,131,210000,0,0.01,7.80E-06
132,132,210000,0,0.01,7.80E-06
133,133,210000,0,0.01,7.80E-06
134,134,210000,0,0.01,7.80E-06
135,135,210000,0,0.01,7.80E-06
136,136,210000,0,0.01,7.80E-06
137,137,210000,0,0.01,7.80E-06
138,138,210000,0,0.01,7.80E-06
139,139,210000,0,0.01,7.80E-06
140,140,210000,0,0.01,7.80E-06
141,141,210000,0,0.01,7.80E-06
142,142,210000,0,0.01,7.80E-06
143,143,210000,0,0.01,7.80E-06
144,144,210000,0,0.01,7.80E-06
145,145,210000,0,0.01,7.80E-06
146,146,210000,0,0.01,7.80E-06
147,147,210000,0,0.01,7.80E-06
148,148,210000,0,0.01,7.80E-06
149,149,210000,0,0.01,7.80E-06
150,150,210000,0,0.01,7.80E-06
151,151,210000,0,0.01,7.80E-06
152,152,210000,0,0.01,7.80E-06
153,153,210000,0,0.01,7.80E-06
154,154,210000,0,0.01,7.80E-06
155,155,210000,0,0.01,7.80E-06
156,156,210000,0,0.01,7.80E-06
157,157,210000,0,0.01,7.80E-06
158,158,210000,0,0.01,7.80E-06
159,159,210000,0,0.01,7.80E-06
160,160,210000,0,0.01,7.80E-06
161,161,210000,0,0.01,7.80E-06
162,162,210000,0,0.01,7.80E-06
163,163,210000,0,0.01,7.80E-06
164,164,210000,0,0.01,7.80E-06
165,165,210000,0,0.01,7.80E-06
166,166,210000,0,0.01,7.80E-06
167,167,210000,0,0.01,7.80E-06
168,168,210000,0,0.01,7.80E-06
169,169,210000,0,0.01,7.80E-06
170,170,210000,0,0.01,7.80E-06
171,171,210000,0,0.01,7.80E-06
172,172,210000,0,0.01,7.80E-06
173,173,210000,0,0.01,7.80E-06
174,174,210000,0,0.01,7.80E-06
175,175,210000,0,0.01,7.80E-06
176,176,210000,0,0.01,7.80E-06
177,177,210000,0,0.01,7.80E-06
178,178,210000,0,0.01,7.80E-06
179,179,210000,0,0.01,7.80E-06
180,180,210000,0,0.01,7.80E-06
181,181,210000,0,0.01,7.80E-06
182,182,210000,0,0.01,7.80E-06
183,183,210000,0,0.01,7.80E-06
184,184,210000,0,0.01,7.80E-06
185,185,210000,0,0.01,7.80E-06
186,186,210000,0,0.01,7.80E-06
187,187,210000,0,0.01,7.80E-06
188,188,210000,0,0.01,7.80E-06
189,189,210000,0,0.01,7.80E-06
190,190,210000,0,0.01,7.80E-06
191,191,210000,0,0.01,7.80E-06
192,192,210000,0,0.01,7.80E-06
193,193,210000,0,0.01,7.80E-06
194,194,210000,0,0.01,7.80E-06
195,195,210000,0,0.01,7.80E-06
196,196,210000,0,0.01,7.80E-06
197,197,210000,0,0.01,7.80E-06
198,198,210000,0,0.01,7.80E-06
199,199,210000,0,0.01,7.80E-06
200,200,210000,0,0.01,7.80E-06
201,201,210000,0,0.01,7.80E-06
202,202,210000,0,0.01,7.80E-06
203,203,210000,0,0.01,7.80E-06
204,204,210000,0,0.01,7.80E-06
205,205,210000,0,0.01,7.80E-06
206,206,210000,0,0.01,7.80E-06
207,207,210000,0,0.01,7.80E-06
208,208,210000,0,0.01,7.80E-06
209,209,210000,0,0.01,7.80E-06
210,210,210000,0,0.01,7.80E-06
211,211,210000,0,0.01,7.80E-06
212,212,210000,0,0.01,7.80E-06
213,213,210000,0,0.01,7.80E-06
214,214,210000,0,0.01,7.80E-06
215,215,210000,0,0.01,7.80E-06
216,216,210000,0,0.01,7.80E-06
217,217,210000,0,0.01,7.80E-06
218,218,210000,0,0.01,7.80E-06
219,219,210000,0,0.01,7.80E-06
220,220,210000,0,0.01,7.80E-06
221,221,210000,0,0.01,7.80E-06
222,222,210000,0,0.01,7.80E-06
223,223,210000,0,0.01,7.80E-06
224,224,210000,0,0.01,7.80E-06
225,225,210000,0,0.01,7.80E-06
226,226,210000,0,0.01,7.80E-06
227,227,210000,0,0.01,7.80E-06
228,228,210000,0,0.01,7.80E-06
229,229,210000,0,0.01,7.80E-06
230,230,210000,0,0.01,7.80E-06
231,231,210000,0,0.01,7.80E-06
232,232,210000,0,0.01,7.80E-06
233,233,210000,0,0.01,7.80E-06
234,234,210000,0,0.01,7.80E-06
235,235,210000,0,0.01,7.80E-06
236,236,210000,0,0.01,7.80E-06
237,237,210000,0,0.01,7.80E-06
238,238,210000,0,0.01,7.80E-06
239,239,210000,0,0.01,7.80E-06
240,240,210000,0,0.01,7.80E-06
241,241,210000,0,0.01,7.80E-06
242,242,210000,0,0.01,7.80E-06
243,243,210000,0,0.01,7.80E-06
244,244,210000,0,0.01,7.80E-06
245,245,210000,0,0.01,7.80E-06
246,246,210000,0,0.01,7.80E-06
247,247,210000,0,0.01,7.80E-06
248,248,210000,0,0.01,7.80E-06
249,249,210000,0,0.01,7.80E-06
250,250,210000,0,0.01,7.80E-06
251,251,210000,0,0.01,7.80E-06
252,252,210000,0,0.01,7.80E-06
253,253,210000,0,0.01,7.80E-06
254,254,210000,0,0.01,7.80E-06
255,255,210000,0,0.01,7.80E-06
256,256,210000,0,0.01,7.80E-06
257,257,210000,0,0.01,7.80E-06
258,258,210000,0,0.01,7.80E-06
259,259,210000,0,0.01,7.80E-06
