id,idn,u0,u1,u2
0,185,0,0,0
1,187,0,0,0
2,190,0,0,0
3,192,0,0,0
4,196,0,0,0
5,197,0,0,0
6,198,0,0,0
7,2755,0,0,0
8,2756,0,0,0
9,2785,0,0,0
10,2786,0,0,0
11,2787,0,0,0
12,2788,0,0,0
13,2795,0,0,0
14,2796,0,0,0
15,2797,0,0,0
16,2798,0,0,0
17,2816,0,0,0
18,2817,0,0,0
19,2818,0,0,0
20,2819,0,0,0
21,2820,0,0,0
22,2822,0,0,0
23,2823,0,0,0
24,2824,0,0,0
25,2825,0,0,0
26,2831,0,0,0
27,2832,0,0,0
28,2833,0,0,0
29,2834,0,0,0
30,2835,0,0,0
31,2836,0,0,0
32,2844,0,0,0
33,2877,0,0,0
34,2878,0,0,0
35,2879,0,0,0
36,2880,0,0,0
37,2882,0,0,0
38,2883,0,0,0
39,2884,0,0,0
40,2885,0,0,0
41,2886,0,0,0
42,2887,0,0,0
43,2888,0,0,0
44,2889,0,0,0
45,2890,0,0,0
46,2891,0,0,0
47,2892,0,0,0
48,2893,0,0,0
49,2894,0,0,0
50,2895,0,0,0
51,2896,0,0,0
52,2897,0,0,0
53,2898,0,0,0
54,2899,0,0,0
55,2900,0,0,0
56,2901,0,0,0
57,2902,0,0,0
58,2903,0,0,0
59,2904,0,0,0
60,2905,0,0,0
61,2906,0,0,0
62,2907,0,0,0
63,2908,0,0,0
64,2909,0,0,0
65,2910,0,0,0
66,2911,0,0,0
67,2912,0,0,0
68,2913,0,0,0
69,2914,0,0,0
70,2915,0,0,0
71,2916,0,0,0
72,12232,0,0,0
73,12424,0,0,0
74,12433,0,0,0
75,12434,0,0,0
76,12435,0,0,0
77,12436,0,0,0
78,12437,0,0,0
79,12438,0,0,0
80,12452,0,0,0
81,12453,0,0,0
82,12480,0,0,0
83,12492,0,0,0
84,12493,0,0,0
85,12494,0,0,0
86,12495,0,0,0
87,12502,0,0,0
88,12532,0,0,0
89,12588,0,0,0
90,12589,0,0,0
91,12590,0,0,0
92,12591,0,0,0
93,12592,0,0,0
94,12594,0,0,0
95,12595,0,0,0
96,12596,0,0,0
97,12597,0,0,0
98,12598,0,0,0
99,12599,0,0,0
100,12601,0,0,0
101,12602,0,0,0
102,12603,0,0,0
103,12604,0,0,0
104,12605,0,0,0
105,12606,0,0,0
106,12607,0,0,0
107,12608,0,0,0
108,12610,0,0,0
109,12611,0,0,0
110,12612,0,0,0
111,12613,0,0,0
112,12614,0,0,0
113,12615,0,0,0
114,12616,0,0,0
115,12619,0,0,0
116,12620,0,0,0
117,12621,0,0,0
118,12622,0,0,0
119,12623,0,0,0
120,12624,0,0,0
121,12625,0,0,0
122,12626,0,0,0
123,12627,0,0,0
124,12629,0,0,0
125,12630,0,0,0
126,12631,0,0,0
127,12632,0,0,0
128,12634,0,0,0
129,12639,0,0,0
130,12643,0,0,0
131,12644,0,0,0
132,12645,0,0,0
133,12646,0,0,0
134,12647,0,0,0
135,12648,0,0,0
136,12650,0,0,0
137,12651,0,0,0
138,12652,0,0,0
139,12653,0,0,0
140,12655,0,0,0
141,12658,0,0,0
142,12660,0,0,0
143,12661,0,0,0
144,12662,0,0,0
145,12663,0,0,0
146,12665,0,0,0
147,12666,0,0,0
148,12667,0,0,0
149,12668,0,0,0
150,12671,0,0,0
151,12672,0,0,0
152,12705,0,0,0
153,12825,0,0,0
154,12827,0,0,0
155,12829,0,0,0
156,12830,0,0,0
157,12831,0,0,0
158,12832,0,0,0
159,12833,0,0,0
160,12835,0,0,0
161,12836,0,0,0
162,12837,0,0,0
163,12840,0,0,0
164,12841,0,0,0
165,12842,0,0,0
166,12846,0,0,0
167,12847,0,0,0
168,12850,0,0,0
169,12858,0,0,0
170,12859,0,0,0
171,12861,0,0,0
172,12863,0,0,0
173,12864,0,0,0
174,12867,0,0,0
175,12868,0,0,0
176,12870,0,0,0
177,12876,0,0,0
178,12877,0,0,0
179,12881,0,0,0
180,12882,0,0,0
181,12883,0,0,0
182,12884,0,0,0
183,12885,0,0,0
184,12886,0,0,0
185,12887,0,0,0
186,12888,0,0,0
187,12889,0,0,0
188,12890,0,0,0
189,12891,0,0,0
190,12892,0,0,0
191,12893,0,0,0
192,12894,0,0,0
193,12895,0,0,0
194,12896,0,0,0
195,12897,0,0,0
196,12898,0,0,0
197,12899,0,0,0
198,12900,0,0,0
199,12901,0,0,0
200,12902,0,0,0
201,12903,0,0,0
202,12904,0,0,0
203,12905,0,0,0
204,12906,0,0,0
205,12907,0,0,0
206,12908,0,0,0
207,12909,0,0,0
208,12910,0,0,0
209,12911,0,0,0
210,12912,0,0,0
211,12913,0,0,0
212,12914,0,0,0
213,12915,0,0,0
214,12916,0,0,0
215,12917,0,0,0
216,12918,0,0,0
217,12919,0,0,0
218,12920,0,0,0
219,12921,0,0,0
220,12923,0,0,0
221,12924,0,0,0
222,12925,0,0,0
223,12928,0,0,0
224,12929,0,0,0
225,12930,0,0,0
226,12931,0,0,0
227,12932,0,0,0
228,12933,0,0,0
229,12934,0,0,0
230,12935,0,0,0
231,12936,0,0,0
232,12937,0,0,0
233,12938,0,0,0
234,12940,0,0,0
235,12941,0,0,0
236,12942,0,0,0
237,12943,0,0,0
238,12944,0,0,0
239,12945,0,0,0
240,12946,0,0,0
241,12947,0,0,0
242,12948,0,0,0
243,12949,0,0,0
244,12950,0,0,0
245,12951,0,0,0
246,12952,0,0,0
247,12953,0,0,0
248,12954,0,0,0
249,12955,0,0,0
250,12956,0,0,0
251,12957,0,0,0
252,12959,0,0,0
253,12960,0,0,0
254,12961,0,0,0
255,12967,0,0,0
256,12968,0,0,0
257,12969,0,0,0
258,12970,0,0,0
259,12975,0,0,0
260,12978,0,0,0
261,12979,0,0,0
262,12980,0,0,0
263,12981,0,0,0
264,12982,0,0,0
265,12983,0,0,0
266,12984,0,0,0
267,12985,0,0,0
268,12986,0,0,0
269,12987,0,0,0
270,12988,0,0,0
271,12989,0,0,0
272,12990,0,0,0
273,12991,0,0,0
274,12992,0,0,0
275,12993,0,0,0
276,12994,0,0,0
277,12995,0,0,0
278,12996,0,0,0
279,12997,0,0,0
280,12998,0,0,0
281,12999,0,0,0
282,13000,0,0,0
283,13002,0,0,0
284,13004,0,0,0
285,13005,0,0,0
286,13006,0,0,0
287,13007,0,0,0
288,13011,0,0,0
289,13013,0,0,0
290,13014,0,0,0
291,13017,0,0,0
292,13018,0,0,0
293,13020,0,0,0
294,13021,0,0,0
295,13022,0,0,0
296,13023,0,0,0
297,13024,0,0,0
298,13025,0,0,0
299,13026,0,0,0
300,13027,0,0,0
301,13028,0,0,0
302,13029,0,0,0
303,13030,0,0,0
304,13031,0,0,0
305,13032,0,0,0
306,13033,0,0,0
307,13034,0,0,0
308,13035,0,0,0
309,13036,0,0,0
310,13037,0,0,0
311,13038,0,0,0
312,13039,0,0,0
313,13040,0,0,0
314,13041,0,0,0
315,13042,0,0,0
316,13043,0,0,0
317,13044,0,0,0
318,13045,0,0,0
319,13046,0,0,0
320,13047,0,0,0
321,13048,0,0,0
322,13049,0,0,0
323,13050,0,0,0
324,13051,0,0,0
325,13052,0,0,0
326,13053,0,0,0
327,13054,0,0,0
328,13055,0,0,0
329,13056,0,0,0
330,13057,0,0,0
331,13058,0,0,0
332,13059,0,0,0
333,13060,0,0,0
334,13061,0,0,0
335,13062,0,0,0
336,13063,0,0,0
337,13064,0,0,0
338,13065,0,0,0
339,13066,0,0,0
340,13067,0,0,0
341,13068,0,0,0
342,13069,0,0,0
343,13070,0,0,0
344,13071,0,0,0
345,13072,0,0,0
346,13073,0,0,0
347,13074,0,0,0
348,13075,0,0,0
349,13076,0,0,0
350,13077,0,0,0
351,13078,0,0,0
352,13079,0,0,0
353,13080,0,0,0
354,13081,0,0,0
355,13082,0,0,0
356,13083,0,0,0
357,13084,0,0,0
358,13085,0,0,0
359,13086,0,0,0
360,13087,0,0,0
361,13088,0,0,0
362,13089,0,0,0
363,13090,0,0,0
364,13091,0,0,0
365,13092,0,0,0
366,13093,0,0,0
367,13094,0,0,0
368,13095,0,0,0
369,13096,0,0,0
370,13097,0,0,0
371,13098,0,0,0
372,13099,0,0,0
373,13100,0,0,0
374,13101,0,0,0
375,13102,0,0,0
376,13103,0,0,0
377,13104,0,0,0
378,13105,0,0,0
379,13106,0,0,0
380,13107,0,0,0
381,13108,0,0,0
382,13109,0,0,0
383,13110,0,0,0
384,13111,0,0,0
385,13112,0,0,0
386,13113,0,0,0
387,13114,0,0,0
388,13115,0,0,0
389,13116,0,0,0
390,13117,0,0,0
391,13118,0,0,0
392,13119,0,0,0
393,13120,0,0,0
394,13121,0,0,0
395,13122,0,0,0
396,13123,0,0,0
397,13124,0,0,0
398,13125,0,0,0
399,13126,0,0,0
400,13127,0,0,0
401,13128,0,0,0
402,13129,0,0,0
403,13130,0,0,0
404,13132,0,0,0
405,13133,0,0,0
406,13134,0,0,0
407,13136,0,0,0
408,13137,0,0,0
409,13138,0,0,0
410,13140,0,0,0
411,13141,0,0,0
412,13142,0,0,0
413,13143,0,0,0
414,13144,0,0,0
415,13146,0,0,0
416,13153,0,0,0
417,13154,0,0,0
418,13155,0,0,0
419,13156,0,0,0
420,13157,0,0,0
421,13158,0,0,0
422,13159,0,0,0
423,13160,0,0,0
424,13167,0,0,0
425,13169,0,0,0
426,13170,0,0,0
427,13171,0,0,0
428,13172,0,0,0
429,13173,0,0,0
430,13174,0,0,0
431,13175,0,0,0
432,13176,0,0,0
433,13177,0,0,0
434,13178,0,0,0
435,13179,0,0,0
436,13185,0,0,0
437,13186,0,0,0
438,13187,0,0,0
439,13188,0,0,0
440,13191,0,0,0
441,13194,0,0,0
442,13195,0,0,0
443,13196,0,0,0
444,13197,0,0,0
445,13198,0,0,0
446,13199,0,0,0
447,13200,0,0,0
448,13201,0,0,0
449,13202,0,0,0
450,13204,0,0,0
451,13206,0,0,0
452,18423,0,0,0
453,18424,0,0,0
454,18425,0,0,0
455,18426,0,0,0
456,18427,0,0,0
457,18429,0,0,0
458,18906,0,0,0
459,19100,0,0,0
460,19156,0,0,0
461,19157,0,0,0
462,19158,0,0,0
463,19161,0,0,0
464,19318,0,0,0
465,19319,0,0,0
466,19320,0,0,0
467,19322,0,0,0
468,19353,0,0,0
469,19354,0,0,0
