ID,NON,n0,n1,n2,n3,n4,n5,n6,n7
0,8,33,5663,34840,18969,18970,34841,34844,34842
1,8,5663,5634,18968,34840,34841,18972,34843,34844
2,8,18969,34840,18968,17602,34842,34844,34843,18971
3,8,17599,18972,34841,18970,18971,34843,34844,34842
4,8,9361,18973,34845,9366,9362,34846,34848,9412
5,8,18973,18133,18974,34845,34846,18975,34847,34848
6,8,9366,34845,18974,1884,9412,34848,34847,9388
7,8,9360,18975,34846,9362,9388,34847,34848,9412
8,8,18794,18976,34849,18978,18979,34850,34853,34851
9,8,18976,18729,18977,34849,34850,18981,34852,34853
10,8,18978,34849,18977,17554,34851,34853,34852,18980
11,8,18796,18981,34850,18979,18980,34852,34853,34851
12,8,17814,18982,34854,18984,18985,34855,34858,34856
13,8,18982,18795,18983,34854,34855,18987,34857,34858
14,8,18984,34854,18983,17806,34856,34858,34857,18986
15,8,5700,18987,34855,18985,18986,34857,34858,34856
16,8,12715,12723,34859,18989,18990,34860,34863,34861
17,8,12723,12716,18988,34859,34860,18992,34862,34863
18,8,18989,34859,18988,18391,34861,34863,34862,18991
19,8,18415,18992,34860,18990,18991,34862,34863,34861
20,8,18234,18993,34864,18995,18996,34865,34868,34866
21,8,18993,18850,18994,34864,34865,18998,34867,34868
22,8,18995,34864,18994,18218,34866,34868,34867,18997
23,8,18239,18998,34865,18996,18997,34867,34868,34866
24,8,6363,18999,34869,6413,19001,34870,34873,34871
25,8,18999,17594,19000,34869,34870,19003,34872,34873
26,8,6413,34869,19000,6367,34871,34873,34872,19002
27,8,17515,19003,34870,19001,19002,34872,34873,34871
28,8,17857,19004,34874,19006,19007,34875,34878,34876
29,8,19004,17606,19005,34874,34875,19009,34877,34878
30,8,19006,34874,19005,17844,34876,34878,34877,19008
31,8,18803,19009,34875,19007,19008,34877,34878,34876
32,8,16,366,34879,19011,19012,34880,34883,34881
33,8,366,365,19010,34879,34880,19014,34882,34883
34,8,19011,34879,19010,17532,34881,34883,34882,19013
35,8,17535,19014,34880,19012,19013,34882,34883,34881
36,8,17594,19003,34884,19016,19000,34872,34887,34885
37,8,19003,17515,19015,34884,34872,19002,34886,34887
38,8,19016,34884,19015,1067,34885,34887,34886,6419
39,8,6367,19002,34872,19000,6419,34886,34887,34885
40,8,18102,19017,34888,19019,19020,34889,34892,34890
41,8,19017,18493,19018,34888,34889,19022,34891,34892
42,8,19019,34888,19018,18105,34890,34892,34891,19021
43,8,1802,19022,34889,19020,19021,34891,34892,34890
44,8,17845,19023,34893,19024,19025,34894,34896,34895
45,8,19023,5985,6036,34893,34894,6038,6099,34896
46,8,19024,34893,6036,5981,34895,34896,6099,6039
47,8,5971,6038,34894,19025,6039,6099,34896,34895
48,8,18364,19026,34897,19028,19029,34898,34901,34899
49,8,19026,18333,19027,34897,34898,19031,34900,34901
50,8,19028,34897,19027,18368,34899,34901,34900,19030
51,8,18334,19031,34898,19029,19030,34900,34901,34899
52,8,18179,19032,34902,19034,19035,34903,34906,34904
53,8,19032,18327,19033,34902,34903,19037,34905,34906
54,8,19034,34902,19033,18851,34904,34906,34905,19036
55,8,18325,19037,34903,19035,19036,34905,34906,34904
56,8,2934,2935,13468,13450,19038,34907,34910,34908
57,8,2935,2936,13448,13468,34907,19040,34909,34910
58,8,13450,13468,13448,13444,34908,34910,34909,19039
59,8,18319,19040,34907,19038,19039,34909,34910,34908
60,8,18209,19041,34911,19043,19044,34912,34915,34913
61,8,19041,18439,19042,34911,34912,19046,34914,34915
62,8,19043,34911,19042,18449,34913,34915,34914,19045
63,8,18445,19046,34912,19044,19045,34914,34915,34913
64,8,8241,19047,34916,19049,8244,34917,34920,34918
65,8,19047,17764,19048,34916,34917,19051,34919,34920
66,8,19049,34916,19048,17760,34918,34920,34919,19050
67,8,8236,19051,34917,8244,19050,34919,34920,34918
68,8,8039,19052,34921,8072,8061,34922,34924,8103
69,8,19052,17957,19053,34921,34922,19054,34923,34924
70,8,8072,34921,19053,8038,8103,34924,34923,8073
71,8,1453,19054,34922,8061,8073,34923,34924,8103
72,8,17792,19055,34925,19057,19058,34926,34929,34927
73,8,19055,17842,19056,34925,34926,19060,34928,34929
74,8,19057,34925,19056,18621,34927,34929,34928,19059
75,8,18622,19060,34926,19058,19059,34928,34929,34927
76,8,3923,19061,34930,3926,3931,34931,34933,3973
77,8,19061,17497,19062,34930,34931,19063,34932,34933
78,8,3926,34930,19062,3922,3973,34933,34932,3952
79,8,3919,19063,34931,3931,3952,34932,34933,3973
80,8,2991,2992,34934,19065,13577,13593,34937,34935
81,8,2992,150,19064,34934,13593,2450,34936,34937
82,8,19065,34934,19064,18305,34935,34937,34936,19066
83,8,2451,2450,13593,13577,19066,34936,34937,34935
84,8,5091,5097,34938,19068,5113,5148,34941,34939
85,8,5097,661,19067,34938,5148,660,34940,34941
86,8,19068,34938,19067,17722,34939,34941,34940,19069
87,8,659,660,5148,5113,19069,34940,34941,34939
