id,ide,E,ƒË
0,0,210000,0.3
1,1,210000,0.3
2,2,210000,0.3
3,3,210000,0.3
4,4,210000,0.3
5,5,210000,0.3
6,6,210000,0.3
7,7,210000,0.3
8,8,210000,0.3
9,9,210000,0.3
10,10,210000,0.3
11,11,210000,0.3
12,12,210000,0.3
13,13,210000,0.3
14,14,210000,0.3
15,15,210000,0.3
16,16,210000,0.3
17,17,210000,0.3
18,18,210000,0.3
19,19,210000,0.3
20,20,210000,0.3
21,21,210000,0.3
22,22,210000,0.3
23,23,210000,0.3
24,24,210000,0.3
25,25,210000,0.3
26,26,210000,0.3
27,27,210000,0.3
28,28,210000,0.3
29,29,210000,0.3
30,30,210000,0.3
31,31,210000,0.3
32,32,210000,0.3
33,33,210000,0.3
34,34,210000,0.3
35,35,210000,0.3
36,36,210000,0.3
37,37,210000,0.3
38,38,210000,0.3
39,39,210000,0.3
40,40,210000,0.3
41,41,210000,0.3
42,42,210000,0.3
43,43,210000,0.3
44,44,210000,0.3
45,45,210000,0.3
46,46,210000,0.3
47,47,210000,0.3
48,48,210000,0.3
49,49,210000,0.3
50,50,210000,0.3
51,51,210000,0.3
52,52,210000,0.3
53,53,210000,0.3
54,54,210000,0.3
55,55,210000,0.3
56,56,210000,0.3
57,57,210000,0.3
58,58,210000,0.3
59,59,210000,0.3
60,60,210000,0.3
61,61,210000,0.3
62,62,210000,0.3
63,63,210000,0.3
64,64,210000,0.3
65,65,210000,0.3
66,66,210000,0.3
67,67,210000,0.3
68,68,210000,0.3
69,69,210000,0.3
70,70,210000,0.3
71,71,210000,0.3
72,72,210000,0.3
73,73,210000,0.3
74,74,210000,0.3
75,75,210000,0.3
76,76,210000,0.3
77,77,210000,0.3
78,78,210000,0.3
79,79,210000,0.3
80,80,210000,0.3
81,81,210000,0.3
82,82,210000,0.3
83,83,210000,0.3
84,84,210000,0.3
85,85,210000,0.3
86,86,210000,0.3
87,87,210000,0.3
88,88,210000,0.3
89,89,210000,0.3
90,90,210000,0.3
91,91,210000,0.3
92,92,210000,0.3
93,93,210000,0.3
94,94,210000,0.3
95,95,210000,0.3
96,96,210000,0.3
97,97,210000,0.3
98,98,210000,0.3
99,99,210000,0.3
100,100,210000,0.3
101,101,210000,0.3
102,102,210000,0.3
103,103,210000,0.3
104,104,210000,0.3
105,105,210000,0.3
106,106,210000,0.3
107,107,210000,0.3
108,108,210000,0.3
109,109,210000,0.3
110,110,210000,0.3
111,111,210000,0.3
112,112,210000,0.3
113,113,210000,0.3
114,114,210000,0.3
115,115,210000,0.3
116,116,210000,0.3
117,117,210000,0.3
118,118,210000,0.3
119,119,210000,0.3
120,120,210000,0.3
121,121,210000,0.3
122,122,210000,0.3
123,123,210000,0.3
124,124,210000,0.3
125,125,210000,0.3
126,126,210000,0.3
127,127,210000,0.3
128,128,210000,0.3
129,129,210000,0.3
130,130,210000,0.3
131,131,210000,0.3
132,132,210000,0.3
133,133,210000,0.3
134,134,210000,0.3
135,135,210000,0.3
136,136,210000,0.3
137,137,210000,0.3
138,138,210000,0.3
139,139,210000,0.3
140,140,210000,0.3
141,141,210000,0.3
142,142,210000,0.3
143,143,210000,0.3
144,144,210000,0.3
145,145,210000,0.3
146,146,210000,0.3
147,147,210000,0.3
148,148,210000,0.3
149,149,210000,0.3
150,150,210000,0.3
151,151,210000,0.3
152,152,210000,0.3
153,153,210000,0.3
154,154,210000,0.3
155,155,210000,0.3
156,156,210000,0.3
157,157,210000,0.3
158,158,210000,0.3
159,159,210000,0.3
160,160,210000,0.3
161,161,210000,0.3
162,162,210000,0.3
163,163,210000,0.3
164,164,210000,0.3
165,165,210000,0.3
166,166,210000,0.3
167,167,210000,0.3
168,168,210000,0.3
169,169,210000,0.3
170,170,210000,0.3
171,171,210000,0.3
172,172,210000,0.3
173,173,210000,0.3
174,174,210000,0.3
175,175,210000,0.3
176,176,210000,0.3
177,177,210000,0.3
178,178,210000,0.3
179,179,210000,0.3
180,180,210000,0.3
181,181,210000,0.3
182,182,210000,0.3
183,183,210000,0.3
184,184,210000,0.3
185,185,210000,0.3
186,186,210000,0.3
187,187,210000,0.3
188,188,210000,0.3
189,189,210000,0.3
190,190,210000,0.3
191,191,210000,0.3
192,192,210000,0.3
