id,idn,u0,u1,u2
0,0,0,0,0
1,1,free,0,0
2,2,free,0,0
3,3,free,0,0
4,4,free,0,0
5,5,free,0,0
6,6,free,0,0
7,7,free,0,0
8,8,free,0,0
9,9,free,0,0
10,10,free,0,0
11,11,free,free,0
12,12,free,free,0
13,13,free,free,0
14,14,free,free,0
15,15,free,free,0
16,16,free,free,0
17,17,free,free,0
18,18,free,free,0
19,19,free,free,0
20,20,free,free,0
21,21,free,free,0
22,22,free,free,0
23,23,free,free,0
24,24,free,free,0
25,25,free,free,0
26,26,free,free,0
27,27,free,free,0
28,28,free,free,0
29,29,free,free,0
30,30,free,free,0
31,31,free,free,0
32,32,free,free,0
33,33,free,free,0
34,34,free,free,0
35,35,free,free,0
36,36,free,free,0
37,37,free,free,0
38,38,free,free,0
39,39,free,free,0
40,40,free,free,0
41,41,free,free,0
42,42,free,free,0
43,43,free,free,0
44,44,free,free,0
45,45,free,free,0
46,46,free,free,0
47,47,free,free,0
48,48,free,free,0
49,49,free,free,0
50,50,free,free,0
51,51,free,free,0
52,52,free,free,0
53,53,free,free,0
54,54,free,free,0
55,55,free,free,0
56,56,free,free,0
57,57,free,free,0
58,58,free,free,0
59,59,free,free,0
60,60,free,free,0
61,61,free,free,0
62,62,free,free,0
63,63,free,free,0
64,64,free,free,0
65,65,free,free,0
66,66,free,free,0
67,67,free,free,0
68,68,free,free,0
69,69,free,free,0
70,70,free,free,0
71,71,free,free,0
72,72,free,free,0
73,73,free,free,0
74,74,free,free,0
75,75,free,free,0
76,76,free,free,0
77,77,free,free,0
78,78,free,free,0
79,79,free,free,0
80,80,free,free,0
81,81,free,free,0
82,82,free,free,0
83,83,free,free,0
84,84,free,free,0
85,85,free,free,0
86,86,free,free,0
87,87,free,free,0
88,88,free,free,0
89,89,free,free,0
90,90,free,free,0
91,91,free,free,0
92,92,free,free,0
93,93,free,free,0
94,94,free,free,0
95,95,free,free,0
96,96,free,free,0
97,97,free,free,0
98,98,free,free,0
99,99,free,free,0
100,100,free,free,0
101,101,free,free,0
102,102,free,free,0
103,103,free,free,0
104,104,free,free,0
105,105,free,free,0
106,106,free,free,0
107,107,free,free,0
108,108,free,free,0
109,109,free,free,0
110,110,free,free,0
111,111,free,free,0
112,112,free,free,0
113,113,free,free,0
114,114,free,free,0
115,115,free,free,0
116,116,free,free,0
117,117,free,free,0
118,118,free,free,0
119,119,free,free,0
120,120,free,free,0
121,121,free,free,0
122,122,free,free,0
123,123,free,free,0
124,124,free,free,0
125,125,free,free,0
126,126,free,free,0
127,127,free,free,0
128,128,free,free,0
129,129,free,free,0
130,130,free,free,0
131,131,free,free,0
132,132,free,free,0
133,133,free,free,0
134,134,free,free,0
135,135,free,free,0
136,136,free,free,0
137,137,free,free,0
138,138,free,free,0
139,139,free,free,0
140,140,free,free,0
141,141,free,free,0
142,142,free,free,0
143,143,free,free,0
144,144,free,free,0
145,145,free,free,0
146,146,free,free,0
147,147,free,free,0
148,148,free,free,0
149,149,free,free,0
150,150,free,free,0
151,151,free,free,0
152,152,free,free,0
153,153,free,free,0
154,154,free,free,0
155,155,free,free,0
156,156,free,free,0
157,157,free,free,0
158,158,free,free,0
159,159,free,free,0
160,160,free,free,0
161,161,free,free,0
162,162,free,free,0
163,163,free,free,0
164,164,free,free,0
165,165,free,free,0
166,166,free,free,0
167,167,free,free,0
168,168,free,free,0
169,169,free,free,0
170,170,free,free,0
171,171,free,free,0
172,172,free,free,0
173,173,free,free,0
174,174,free,free,0
175,175,free,free,0
176,176,free,free,0
177,177,free,free,0
178,178,free,free,0
179,179,free,free,0
180,180,free,free,0
181,181,free,free,0
182,182,free,free,0
183,183,free,free,0
184,184,free,free,0
185,185,free,free,0
186,186,free,free,0
187,187,free,free,0
188,188,free,free,0
189,189,free,free,0
190,190,free,free,0
191,191,free,free,0
192,192,free,free,0
193,193,free,free,0
194,194,free,free,0
195,195,free,free,0
196,196,free,free,0
197,197,free,free,0
198,198,free,free,0
199,199,free,free,0
200,200,free,free,0
201,201,free,free,0
202,202,free,free,0
203,203,free,free,0
204,204,free,free,0
205,205,free,free,0
206,206,free,free,0
207,207,free,free,0
208,208,free,free,0
209,209,free,free,0
210,210,free,free,0
211,211,free,free,0
212,212,free,free,0
213,213,free,free,0
214,214,free,free,0
215,215,free,free,0
216,216,free,free,0
217,217,free,free,0
218,218,free,free,0
219,219,free,free,0
220,220,free,free,0
221,221,free,free,0
222,222,free,free,0
223,223,free,free,0
224,224,free,free,0
225,225,free,free,0
226,226,free,free,0
227,227,free,free,0
228,228,free,free,0
229,229,free,free,0
230,230,free,free,0
231,231,free,free,0
232,232,free,free,0
233,233,free,free,0
234,234,free,free,0
235,235,free,free,0
236,236,free,free,0
237,237,free,free,0
238,238,free,free,0
239,239,free,free,0
240,240,free,free,0
241,241,free,free,0
242,242,free,free,0
243,243,free,free,0
244,244,free,free,0
245,245,free,free,0
246,246,free,free,0
