ID,x0,x1,x2,u0,u1,u2
0,0,0,0,0,1,2
1,1,0,0,0,1,2
2,2,0,0,0,1,2
3,0,1,0,0,1,2
4,1,1,0,0,1,2
5,2,1,0,0,1,2
6,0,2,0,0,1,2
7,1,2,0,0,1,2
8,2,2,0,0,1,2
9,0,0,1,0,1,2
10,1,0,1,0,1,2
11,2,0,1,0,1,2
12,0,1,1,0,1,2
13,1,1,1,0,1,2
14,2,1,1,0,1,2
15,0,2,1,0,1,2
16,1,2,1,0,1,2
17,2,2,1,0,1,2
18,0,0,2,0,1,2
19,1,0,2,0,1,2
20,2,0,2,0,1,2
21,0,1,2,0,1,2
22,1,1,2,0,1,2
23,2,1,2,0,1,2
24,0,2,2,0,1,2
25,1,2,2,0,1,2
26,2,2,2,0,1,2
27,0,0,3,0,1,2
28,1,0,3,0,1,2
29,2,0,3,0,1,2
30,0,1,3,0,1,2
31,1,1,3,0,1,2
32,2,1,3,0,1,2
33,0,2,3,0,1,2
34,1,2,3,0,1,2
35,2,2,3,0,1,2
36,0,0,4,0,1,2
37,1,0,4,0,1,2
38,2,0,4,0,1,2
39,0,1,4,0,1,2
40,1,1,4,0,1,2
41,2,1,4,0,1,2
42,0,2,4,0,1,2
43,1,2,4,0,1,2
44,2,2,4,0,1,2
45,0,0,5,0,1,2
46,1,0,5,0,1,2
47,2,0,5,0,1,2
48,0,1,5,0,1,2
49,1,1,5,0,1,2
50,2,1,5,0,1,2
51,0,2,5,0,1,2
52,1,2,5,0,1,2
53,2,2,5,0,1,2
54,0,0,6,0,1,2
55,1,0,6,0,1,2
56,2,0,6,0,1,2
57,0,1,6,0,1,2
58,1,1,6,0,1,2
59,2,1,6,0,1,2
60,0,2,6,0,1,2
61,1,2,6,0,1,2
62,2,2,6,0,1,2
63,0,0,7,0,1,2
64,1,0,7,0,1,2
65,2,0,7,0,1,2
66,0,1,7,0,1,2
67,1,1,7,0,1,2
68,2,1,7,0,1,2
69,0,2,7,0,1,2
70,1,2,7,0,1,2
71,2,2,7,0,1,2
72,0,0,8,0,1,2
73,1,0,8,0,1,2
74,2,0,8,0,1,2
75,0,1,8,0,1,2
76,1,1,8,0,1,2
77,2,1,8,0,1,2
78,0,2,8,0,1,2
79,1,2,8,0,1,2
80,2,2,8,0,1,2
81,0,0,9,0,1,2
82,1,0,9,0,1,2
83,2,0,9,0,1,2
84,0,1,9,0,1,2
85,1,1,9,0,1,2
86,2,1,9,0,1,2
87,0,2,9,0,1,2
88,1,2,9,0,1,2
89,2,2,9,0,1,2
90,0,0,10,0,1,2
91,1,0,10,0,1,2
92,2,0,10,0,1,2
93,0,1,10,0,1,2
94,1,1,10,0,1,2
95,2,1,10,0,1,2
96,0,2,10,0,1,2
97,1,2,10,0,1,2
98,2,2,10,0,1,2
99,0,0,11,0,1,2
100,1,0,11,0,1,2
101,2,0,11,0,1,2
102,0,1,11,0,1,2
103,1,1,11,0,1,2
104,2,1,11,0,1,2
105,0,2,11,0,1,2
106,1,2,11,0,1,2
107,2,2,11,0,1,2
108,0,0,12,0,1,2
109,1,0,12,0,1,2
110,2,0,12,0,1,2
111,0,1,12,0,1,2
112,1,1,12,0,1,2
113,2,1,12,0,1,2
114,0,2,12,0,1,2
115,1,2,12,0,1,2
116,2,2,12,0,1,2
117,0,0,13,0,1,2
118,1,0,13,0,1,2
119,2,0,13,0,1,2
120,0,1,13,0,1,2
121,1,1,13,0,1,2
122,2,1,13,0,1,2
