id,ide,E,ƒË
0,0,210000,0
1,1,210000,0
2,2,210000,0
3,3,210000,0
4,4,210000,0
5,5,210000,0
6,6,210000,0
7,7,210000,0
8,8,210000,0
9,9,210000,0
10,10,210000,0
11,11,210000,0
12,12,210000,0
13,13,210000,0
14,14,210000,0
15,15,210000,0
16,16,210000,0
17,17,210000,0
18,18,210000,0
19,19,210000,0
20,20,210000,0
21,21,210000,0
22,22,210000,0
23,23,210000,0
24,24,210000,0
25,25,210000,0
26,26,210000,0
27,27,210000,0
28,28,210000,0
29,29,210000,0
30,30,210000,0
31,31,210000,0
32,32,210000,0
33,33,210000,0
34,34,210000,0
35,35,210000,0
36,36,210000,0
37,37,210000,0
38,38,210000,0
39,39,210000,0
40,40,210000,0
41,41,210000,0
42,42,210000,0
43,43,210000,0
44,44,210000,0
45,45,210000,0
46,46,210000,0
47,47,210000,0
48,48,210000,0
49,49,210000,0
50,50,210000,0
51,51,210000,0
52,52,210000,0
53,53,210000,0
54,54,210000,0
55,55,210000,0
56,56,210000,0
57,57,210000,0
58,58,210000,0
59,59,210000,0
60,60,210000,0
61,61,210000,0
62,62,210000,0
63,63,210000,0
64,64,210000,0
65,65,210000,0
66,66,210000,0
67,67,210000,0
68,68,210000,0
69,69,210000,0
70,70,210000,0
71,71,210000,0
72,72,210000,0
73,73,210000,0
74,74,210000,0
75,75,210000,0
76,76,210000,0
77,77,210000,0
78,78,210000,0
79,79,210000,0
