ID,NON,n0,n1,n2,n3,u0,u1
0,4,0,199,200,1,0,1
1,4,1,200,201,2,0,1
2,4,2,201,202,3,0,1
3,4,3,202,203,4,0,1
4,4,4,203,204,5,0,1
5,4,5,204,205,6,0,1
6,4,6,205,206,7,0,1
7,4,7,206,207,8,0,1
8,4,8,207,208,9,0,1
9,4,9,208,209,10,0,1
10,4,10,209,210,11,0,1
11,4,11,210,211,12,0,1
12,4,12,211,212,13,0,1
13,4,13,212,213,14,0,1
14,4,14,213,214,15,0,1
15,4,15,214,215,16,0,1
16,4,16,215,216,17,0,1
17,4,17,216,217,18,0,1
18,4,18,217,218,19,0,1
19,4,19,218,219,20,0,1
20,4,20,219,220,21,0,1
21,4,21,220,221,22,0,1
22,4,22,221,222,23,0,1
23,4,23,222,223,24,0,1
24,4,24,223,224,25,0,1
25,4,25,224,225,26,0,1
26,4,26,225,226,27,0,1
27,4,27,226,227,28,0,1
28,4,28,227,228,29,0,1
29,4,29,228,229,30,0,1
30,4,30,229,230,31,0,1
31,4,31,230,231,32,0,1
32,4,32,231,232,33,0,1
33,4,33,232,233,34,0,1
34,4,34,233,234,35,0,1
35,4,35,234,235,36,0,1
36,4,36,235,236,37,0,1
37,4,37,236,237,38,0,1
38,4,38,237,238,39,0,1
39,4,39,238,239,40,0,1
40,4,40,239,240,41,0,1
41,4,41,240,241,42,0,1
42,4,42,241,242,43,0,1
43,4,43,242,243,44,0,1
44,4,44,243,244,45,0,1
45,4,45,244,245,46,0,1
46,4,46,245,246,47,0,1
47,4,47,246,247,48,0,1
48,4,48,247,248,49,0,1
49,4,49,248,249,50,0,1
50,4,50,249,250,51,0,1
51,4,51,250,251,52,0,1
52,4,52,251,252,53,0,1
53,4,53,252,253,54,0,1
54,4,54,253,254,55,0,1
55,4,55,254,255,56,0,1
56,4,56,255,256,57,0,1
57,4,57,256,257,58,0,1
58,4,58,257,258,59,0,1
59,4,59,258,259,60,0,1
60,4,60,259,260,61,0,1
61,4,61,260,261,62,0,1
62,4,62,261,262,63,0,1
63,4,63,262,263,64,0,1
64,4,64,263,264,65,0,1
65,4,65,264,265,66,0,1
66,4,66,265,266,67,0,1
67,4,67,266,267,68,0,1
68,4,68,267,268,69,0,1
69,4,69,268,269,70,0,1
70,4,70,269,270,71,0,1
71,4,71,270,271,72,0,1
72,4,72,271,272,73,0,1
73,4,73,272,273,74,0,1
74,4,74,273,274,75,0,1
75,4,75,274,275,76,0,1
76,4,76,275,276,77,0,1
77,4,77,276,277,78,0,1
78,4,78,277,278,79,0,1
79,4,79,278,279,80,0,1
80,4,80,279,280,81,0,1
81,4,81,280,281,82,0,1
82,4,82,281,282,83,0,1
83,4,83,282,283,84,0,1
84,4,84,283,284,85,0,1
85,4,85,284,285,86,0,1
86,4,86,285,286,87,0,1
87,4,87,286,287,88,0,1
88,4,88,287,288,89,0,1
89,4,89,288,289,90,0,1
90,4,90,289,290,91,0,1
91,4,91,290,291,92,0,1
92,4,92,291,292,93,0,1
93,4,93,292,293,94,0,1
94,4,94,293,294,95,0,1
95,4,95,294,295,96,0,1
96,4,96,295,296,97,0,1
97,4,97,296,297,98,0,1
98,4,98,297,298,99,0,1
99,4,99,298,299,100,0,1
100,4,100,299,300,101,0,1
101,4,101,300,301,102,0,1
102,4,102,301,302,103,0,1
103,4,103,302,303,104,0,1
104,4,104,303,304,105,0,1
105,4,105,304,305,106,0,1
106,4,106,305,306,107,0,1
107,4,107,306,307,108,0,1
108,4,108,307,308,109,0,1
109,4,109,308,309,110,0,1
110,4,110,309,310,111,0,1
111,4,111,310,311,112,0,1
112,4,112,311,312,113,0,1
113,4,113,312,313,114,0,1
114,4,114,313,314,115,0,1
115,4,115,314,315,116,0,1
116,4,116,315,316,117,0,1
117,4,117,316,317,118,0,1
118,4,118,317,318,119,0,1
119,4,119,318,319,120,0,1
120,4,120,319,320,121,0,1
121,4,121,320,321,122,0,1
122,4,122,321,322,123,0,1
123,4,123,322,323,124,0,1
124,4,124,323,324,125,0,1
125,4,125,324,325,126,0,1
126,4,126,325,326,127,0,1
127,4,127,326,327,128,0,1
128,4,128,327,328,129,0,1
129,4,129,328,329,130,0,1
130,4,130,329,330,131,0,1
131,4,131,330,331,132,0,1
132,4,132,331,332,133,0,1
133,4,133,332,333,134,0,1
134,4,134,333,334,135,0,1
135,4,135,334,335,136,0,1
136,4,136,335,336,137,0,1
137,4,137,336,337,138,0,1
138,4,138,337,338,139,0,1
139,4,139,338,339,140,0,1
140,4,140,339,340,141,0,1
141,4,141,340,341,142,0,1
142,4,142,341,342,143,0,1
143,4,143,342,343,144,0,1
144,4,144,343,344,145,0,1
145,4,145,344,345,146,0,1
146,4,146,345,346,147,0,1
147,4,147,346,347,148,0,1
148,4,148,347,348,149,0,1
149,4,149,348,349,150,0,1
150,4,150,349,350,151,0,1
151,4,151,350,351,152,0,1
152,4,152,351,352,153,0,1
153,4,153,352,353,154,0,1
154,4,154,353,354,155,0,1
155,4,155,354,355,156,0,1
156,4,156,355,356,157,0,1
157,4,157,356,357,158,0,1
158,4,158,357,358,159,0,1
159,4,159,358,359,160,0,1
160,4,160,359,360,161,0,1
161,4,161,360,361,162,0,1
162,4,162,361,362,163,0,1
163,4,163,362,363,164,0,1
164,4,164,363,364,165,0,1
165,4,165,364,365,166,0,1
166,4,166,365,366,167,0,1
167,4,167,366,367,168,0,1
168,4,168,367,368,169,0,1
169,4,169,368,369,170,0,1
170,4,170,369,370,171,0,1
171,4,171,370,371,172,0,1
172,4,172,371,372,173,0,1
173,4,173,372,373,174,0,1
174,4,174,373,374,175,0,1
175,4,175,374,375,176,0,1
176,4,176,375,376,177,0,1
177,4,177,376,377,178,0,1
178,4,178,377,378,179,0,1
179,4,179,378,379,180,0,1
180,4,180,379,380,181,0,1
181,4,181,380,381,182,0,1
182,4,182,381,382,183,0,1
183,4,183,382,383,184,0,1
184,4,184,383,384,185,0,1
185,4,185,384,385,186,0,1
186,4,186,385,386,187,0,1
187,4,187,386,387,188,0,1
188,4,188,387,388,189,0,1
189,4,189,388,389,190,0,1
190,4,190,389,390,191,0,1
191,4,191,390,391,192,0,1
192,4,192,391,392,193,0,1
193,4,193,392,393,194,0,1
194,4,194,393,394,195,0,1
195,4,195,394,395,196,0,1
196,4,196,395,396,197,0,1
197,4,197,396,397,198,0,1
198,4,199,398,399,200,0,1
199,4,200,399,400,201,0,1
200,4,201,400,401,202,0,1
201,4,202,401,402,203,0,1
202,4,203,402,403,204,0,1
203,4,204,403,404,205,0,1
204,4,205,404,405,206,0,1
205,4,206,405,406,207,0,1
206,4,207,406,407,208,0,1
207,4,208,407,408,209,0,1
208,4,209,408,409,210,0,1
209,4,210,409,410,211,0,1
210,4,211,410,411,212,0,1
211,4,212,411,412,213,0,1
212,4,213,412,413,214,0,1
213,4,214,413,414,215,0,1
214,4,215,414,415,216,0,1
215,4,216,415,416,217,0,1
216,4,217,416,417,218,0,1
217,4,218,417,418,219,0,1
218,4,219,418,419,220,0,1
219,4,220,419,420,221,0,1
220,4,221,420,421,222,0,1
221,4,222,421,422,223,0,1
222,4,223,422,423,224,0,1
223,4,224,423,424,225,0,1
224,4,225,424,425,226,0,1
225,4,226,425,426,227,0,1
226,4,227,426,427,228,0,1
227,4,228,427,428,229,0,1
228,4,229,428,429,230,0,1
229,4,230,429,430,231,0,1
230,4,231,430,431,232,0,1
231,4,232,431,432,233,0,1
232,4,233,432,433,234,0,1
233,4,234,433,434,235,0,1
234,4,235,434,435,236,0,1
235,4,236,435,436,237,0,1
236,4,237,436,437,238,0,1
237,4,238,437,438,239,0,1
238,4,239,438,439,240,0,1
239,4,240,439,440,241,0,1
240,4,241,440,441,242,0,1
241,4,242,441,442,243,0,1
242,4,243,442,443,244,0,1
243,4,244,443,444,245,0,1
244,4,245,444,445,246,0,1
245,4,246,445,446,247,0,1
246,4,247,446,447,248,0,1
247,4,248,447,448,249,0,1
248,4,249,448,449,250,0,1
249,4,250,449,450,251,0,1
250,4,251,450,451,252,0,1
251,4,252,451,452,253,0,1
252,4,253,452,453,254,0,1
253,4,254,453,454,255,0,1
254,4,255,454,455,256,0,1
255,4,256,455,456,257,0,1
256,4,257,456,457,258,0,1
257,4,258,457,458,259,0,1
258,4,259,458,459,260,0,1
259,4,260,459,460,261,0,1
260,4,261,460,461,262,0,1
261,4,262,461,462,263,0,1
262,4,263,462,463,264,0,1
263,4,264,463,464,265,0,1
264,4,265,464,465,266,0,1
265,4,266,465,466,267,0,1
266,4,267,466,467,268,0,1
267,4,268,467,468,269,0,1
268,4,269,468,469,270,0,1
269,4,270,469,470,271,0,1
270,4,271,470,471,272,0,1
271,4,272,471,472,273,0,1
272,4,273,472,473,274,0,1
273,4,274,473,474,275,0,1
274,4,275,474,475,276,0,1
275,4,276,475,476,277,0,1
276,4,277,476,477,278,0,1
277,4,278,477,478,279,0,1
278,4,279,478,479,280,0,1
279,4,280,479,480,281,0,1
280,4,281,480,481,282,0,1
281,4,282,481,482,283,0,1
282,4,283,482,483,284,0,1
283,4,284,483,484,285,0,1
284,4,285,484,485,286,0,1
285,4,286,485,486,287,0,1
286,4,287,486,487,288,0,1
287,4,288,487,488,289,0,1
288,4,289,488,489,290,0,1
289,4,290,489,490,291,0,1
290,4,291,490,491,292,0,1
291,4,292,491,492,293,0,1
292,4,293,492,493,294,0,1
293,4,294,493,494,295,0,1
294,4,295,494,495,296,0,1
295,4,296,495,496,297,0,1
296,4,297,496,497,298,0,1
297,4,298,497,498,299,0,1
298,4,299,498,499,300,0,1
299,4,300,499,500,301,0,1
300,4,301,500,501,302,0,1
301,4,302,501,502,303,0,1
302,4,303,502,503,304,0,1
303,4,304,503,504,305,0,1
304,4,305,504,505,306,0,1
305,4,306,505,506,307,0,1
306,4,307,506,507,308,0,1
307,4,308,507,508,309,0,1
308,4,309,508,509,310,0,1
309,4,310,509,510,311,0,1
310,4,311,510,511,312,0,1
311,4,312,511,512,313,0,1
312,4,313,512,513,314,0,1
313,4,314,513,514,315,0,1
314,4,315,514,515,316,0,1
315,4,316,515,516,317,0,1
316,4,317,516,517,318,0,1
317,4,318,517,518,319,0,1
318,4,319,518,519,320,0,1
319,4,320,519,520,321,0,1
320,4,321,520,521,322,0,1
321,4,322,521,522,323,0,1
322,4,323,522,523,324,0,1
323,4,324,523,524,325,0,1
324,4,325,524,525,326,0,1
325,4,326,525,526,327,0,1
326,4,327,526,527,328,0,1
327,4,328,527,528,329,0,1
328,4,329,528,529,330,0,1
329,4,330,529,530,331,0,1
330,4,331,530,531,332,0,1
331,4,332,531,532,333,0,1
332,4,333,532,533,334,0,1
333,4,334,533,534,335,0,1
334,4,335,534,535,336,0,1
335,4,336,535,536,337,0,1
336,4,337,536,537,338,0,1
337,4,338,537,538,339,0,1
338,4,339,538,539,340,0,1
339,4,340,539,540,341,0,1
340,4,341,540,541,342,0,1
341,4,342,541,542,343,0,1
342,4,343,542,543,344,0,1
343,4,344,543,544,345,0,1
344,4,345,544,545,346,0,1
345,4,346,545,546,347,0,1
346,4,347,546,547,348,0,1
347,4,348,547,548,349,0,1
348,4,349,548,549,350,0,1
349,4,350,549,550,351,0,1
350,4,351,550,551,352,0,1
351,4,352,551,552,353,0,1
352,4,353,552,553,354,0,1
353,4,354,553,554,355,0,1
354,4,355,554,555,356,0,1
355,4,356,555,556,357,0,1
356,4,357,556,557,358,0,1
357,4,358,557,558,359,0,1
358,4,359,558,559,360,0,1
359,4,360,559,560,361,0,1
360,4,361,560,561,362,0,1
361,4,362,561,562,363,0,1
362,4,363,562,563,364,0,1
363,4,364,563,564,365,0,1
364,4,365,564,565,366,0,1
365,4,366,565,566,367,0,1
366,4,367,566,567,368,0,1
367,4,368,567,568,369,0,1
368,4,369,568,569,370,0,1
369,4,370,569,570,371,0,1
370,4,371,570,571,372,0,1
371,4,372,571,572,373,0,1
372,4,373,572,573,374,0,1
373,4,374,573,574,375,0,1
374,4,375,574,575,376,0,1
375,4,376,575,576,377,0,1
376,4,377,576,577,378,0,1
377,4,378,577,578,379,0,1
378,4,379,578,579,380,0,1
379,4,380,579,580,381,0,1
380,4,381,580,581,382,0,1
381,4,382,581,582,383,0,1
382,4,383,582,583,384,0,1
383,4,384,583,584,385,0,1
384,4,385,584,585,386,0,1
385,4,386,585,586,387,0,1
386,4,387,586,587,388,0,1
387,4,388,587,588,389,0,1
388,4,389,588,589,390,0,1
389,4,390,589,590,391,0,1
390,4,391,590,591,392,0,1
391,4,392,591,592,393,0,1
392,4,393,592,593,394,0,1
393,4,394,593,594,395,0,1
394,4,395,594,595,396,0,1
395,4,396,595,596,397,0,1
396,4,398,597,598,399,0,1
397,4,399,598,599,400,0,1
398,4,400,599,600,401,0,1
399,4,401,600,601,402,0,1
400,4,402,601,602,403,0,1
401,4,403,602,603,404,0,1
402,4,404,603,604,405,0,1
403,4,405,604,605,406,0,1
404,4,406,605,606,407,0,1
405,4,407,606,607,408,0,1
406,4,408,607,608,409,0,1
407,4,409,608,609,410,0,1
408,4,410,609,610,411,0,1
409,4,411,610,611,412,0,1
410,4,412,611,612,413,0,1
411,4,413,612,613,414,0,1
412,4,414,613,614,415,0,1
413,4,415,614,615,416,0,1
414,4,416,615,616,417,0,1
415,4,417,616,617,418,0,1
416,4,418,617,618,419,0,1
417,4,419,618,619,420,0,1
418,4,420,619,620,421,0,1
419,4,421,620,621,422,0,1
420,4,422,621,622,423,0,1
421,4,423,622,623,424,0,1
422,4,424,623,624,425,0,1
423,4,425,624,625,426,0,1
424,4,426,625,626,427,0,1
425,4,427,626,627,428,0,1
426,4,428,627,628,429,0,1
427,4,429,628,629,430,0,1
428,4,430,629,630,431,0,1
429,4,431,630,631,432,0,1
430,4,432,631,632,433,0,1
431,4,433,632,633,434,0,1
432,4,434,633,634,435,0,1
433,4,435,634,635,436,0,1
434,4,436,635,636,437,0,1
