Ide,E,v,t
0,210000,0.3,1
1,210000,0.3,1
2,210000,0.3,1
3,210000,0.3,1
4,210000,0.3,1
5,210000,0.3,1
6,210000,0.3,1
7,210000,0.3,1
8,210000,0.3,1
9,210000,0.3,1
10,210000,0.3,1
11,210000,0.3,1
12,210000,0.3,1
13,210000,0.3,1
14,210000,0.3,1
15,210000,0.3,1
16,210000,0.3,1
17,210000,0.3,1
18,210000,0.3,1
19,210000,0.3,1
20,210000,0.3,1
21,210000,0.3,1
22,210000,0.3,1
23,210000,0.3,1
24,210000,0.3,1
25,210000,0.3,1
26,210000,0.3,1
27,210000,0.3,1
28,210000,0.3,1
29,210000,0.3,1
30,210000,0.3,1
31,210000,0.3,1
32,210000,0.3,1
33,210000,0.3,1
34,210000,0.3,1
35,210000,0.3,1
36,210000,0.3,1
37,210000,0.3,1
38,210000,0.3,1
39,210000,0.3,1
40,210000,0.3,1
41,210000,0.3,1
42,210000,0.3,1
43,210000,0.3,1
44,210000,0.3,1
45,210000,0.3,1
46,210000,0.3,1
47,210000,0.3,1
48,210000,0.3,1
49,210000,0.3,1
50,210000,0.3,1
51,210000,0.3,1
52,210000,0.3,1
53,210000,0.3,1
54,210000,0.3,1
55,210000,0.3,1
56,210000,0.3,1
57,210000,0.3,1
58,210000,0.3,1
59,210000,0.3,1
60,210000,0.3,1
61,210000,0.3,1
62,210000,0.3,1
63,210000,0.3,1
64,210000,0.3,1
65,210000,0.3,1
66,210000,0.3,1
67,210000,0.3,1
68,210000,0.3,1
69,210000,0.3,1
70,210000,0.3,1
71,210000,0.3,1
72,210000,0.3,1
73,210000,0.3,1
74,210000,0.3,1
75,210000,0.3,1
76,210000,0.3,1
77,210000,0.3,1
78,210000,0.3,1
79,210000,0.3,1
80,210000,0.3,1
81,210000,0.3,1
82,210000,0.3,1
83,210000,0.3,1
84,210000,0.3,1
85,210000,0.3,1
86,210000,0.3,1
87,210000,0.3,1
88,210000,0.3,1
89,210000,0.3,1
90,210000,0.3,1
91,210000,0.3,1
92,210000,0.3,1
93,210000,0.3,1
94,210000,0.3,1
95,210000,0.3,1
96,210000,0.3,1
97,210000,0.3,1
98,210000,0.3,1
99,210000,0.3,1
100,210000,0.3,1
101,210000,0.3,1
102,210000,0.3,1
103,210000,0.3,1
104,210000,0.3,1
105,210000,0.3,1
106,210000,0.3,1
107,210000,0.3,1
108,210000,0.3,1
