id,ide,E,ƒË,t
0,0,210000,0.3,1
1,1,210000,0.3,1
2,2,210000,0.3,1
3,3,210000,0.3,1
4,4,210000,0.3,1
5,5,210000,0.3,1
6,6,210000,0.3,1
7,7,210000,0.3,1
8,8,210000,0.3,1
9,9,210000,0.3,1
10,10,210000,0.3,1
11,11,210000,0.3,1
12,12,210000,0.3,1
13,13,210000,0.3,1
14,14,210000,0.3,1
15,15,210000,0.3,1
16,16,210000,0.3,1
17,17,210000,0.3,1
18,18,210000,0.3,1
19,19,210000,0.3,1
20,20,210000,0.3,1
21,21,210000,0.3,1
22,22,210000,0.3,1
23,23,210000,0.3,1
24,24,210000,0.3,1
25,25,210000,0.3,1
26,26,210000,0.3,1
27,27,210000,0.3,1
28,28,210000,0.3,1
29,29,210000,0.3,1
30,30,210000,0.3,1
31,31,210000,0.3,1
32,32,210000,0.3,1
33,33,210000,0.3,1
34,34,210000,0.3,1
35,35,210000,0.3,1
36,36,210000,0.3,1
37,37,210000,0.3,1
38,38,210000,0.3,1
39,39,210000,0.3,1
40,40,210000,0.3,1
41,41,210000,0.3,1
42,42,210000,0.3,1
43,43,210000,0.3,1
44,44,210000,0.3,1
45,45,210000,0.3,1
46,46,210000,0.3,1
47,47,210000,0.3,1
48,48,210000,0.3,1
49,49,210000,0.3,1
50,50,210000,0.3,1
51,51,210000,0.3,1
52,52,210000,0.3,1
53,53,210000,0.3,1
54,54,210000,0.3,1
55,55,210000,0.3,1
56,56,210000,0.3,1
57,57,210000,0.3,1
58,58,210000,0.3,1
59,59,210000,0.3,1
60,60,210000,0.3,1
61,61,210000,0.3,1
62,62,210000,0.3,1
63,63,210000,0.3,1
64,64,210000,0.3,1
65,65,210000,0.3,1
66,66,210000,0.3,1
67,67,210000,0.3,1
68,68,210000,0.3,1
69,69,210000,0.3,1
70,70,210000,0.3,1
71,71,210000,0.3,1
72,72,210000,0.3,1
73,73,210000,0.3,1
74,74,210000,0.3,1
75,75,210000,0.3,1
76,76,210000,0.3,1
77,77,210000,0.3,1
78,78,210000,0.3,1
79,79,210000,0.3,1
80,80,210000,0.3,1
81,81,210000,0.3,1
82,82,210000,0.3,1
83,83,210000,0.3,1
84,84,210000,0.3,1
85,85,210000,0.3,1
86,86,210000,0.3,1
87,87,210000,0.3,1
88,88,210000,0.3,1
89,89,210000,0.3,1
90,90,210000,0.3,1
91,91,210000,0.3,1
92,92,210000,0.3,1
93,93,210000,0.3,1
94,94,210000,0.3,1
95,95,210000,0.3,1
96,96,210000,0.3,1
97,97,210000,0.3,1
98,98,210000,0.3,1
99,99,210000,0.3,1
100,100,210000,0.3,1
101,101,210000,0.3,1
102,102,210000,0.3,1
103,103,210000,0.3,1
104,104,210000,0.3,1
105,105,210000,0.3,1
106,106,210000,0.3,1
107,107,210000,0.3,1
108,108,210000,0.3,1
109,109,210000,0.3,1
110,110,210000,0.3,1
111,111,210000,0.3,1
112,112,210000,0.3,1
113,113,210000,0.3,1
114,114,210000,0.3,1
115,115,210000,0.3,1
116,116,210000,0.3,1
117,117,210000,0.3,1
118,118,210000,0.3,1
119,119,210000,0.3,1
120,120,210000,0.3,1
121,121,210000,0.3,1
122,122,210000,0.3,1
123,123,210000,0.3,1
124,124,210000,0.3,1
125,125,210000,0.3,1
126,126,210000,0.3,1
127,127,210000,0.3,1
128,128,210000,0.3,1
129,129,210000,0.3,1
130,130,210000,0.3,1
131,131,210000,0.3,1
132,132,210000,0.3,1
133,133,210000,0.3,1
134,134,210000,0.3,1
135,135,210000,0.3,1
136,136,210000,0.3,1
137,137,210000,0.3,1
138,138,210000,0.3,1
139,139,210000,0.3,1
140,140,210000,0.3,1
141,141,210000,0.3,1
142,142,210000,0.3,1
143,143,210000,0.3,1
144,144,210000,0.3,1
145,145,210000,0.3,1
146,146,210000,0.3,1
147,147,210000,0.3,1
148,148,210000,0.3,1
149,149,210000,0.3,1
150,150,210000,0.3,1
151,151,210000,0.3,1
152,152,210000,0.3,1
153,153,210000,0.3,1
154,154,210000,0.3,1
155,155,210000,0.3,1
156,156,210000,0.3,1
157,157,210000,0.3,1
158,158,210000,0.3,1
159,159,210000,0.3,1
160,160,210000,0.3,1
161,161,210000,0.3,1
162,162,210000,0.3,1
163,163,210000,0.3,1
164,164,210000,0.3,1
165,165,210000,0.3,1
166,166,210000,0.3,1
167,167,210000,0.3,1
168,168,210000,0.3,1
169,169,210000,0.3,1
170,170,210000,0.3,1
171,171,210000,0.3,1
172,172,210000,0.3,1
173,173,210000,0.3,1
174,174,210000,0.3,1
175,175,210000,0.3,1
176,176,210000,0.3,1
177,177,210000,0.3,1
178,178,210000,0.3,1
179,179,210000,0.3,1
180,180,210000,0.3,1
181,181,210000,0.3,1
182,182,210000,0.3,1
183,183,210000,0.3,1
184,184,210000,0.3,1
185,185,210000,0.3,1
186,186,210000,0.3,1
187,187,210000,0.3,1
188,188,210000,0.3,1
189,189,210000,0.3,1
190,190,210000,0.3,1
191,191,210000,0.3,1
192,192,210000,0.3,1
193,193,210000,0.3,1
194,194,210000,0.3,1
195,195,210000,0.3,1
196,196,210000,0.3,1
197,197,210000,0.3,1
198,198,210000,0.3,1
199,199,210000,0.3,1
200,200,210000,0.3,1
201,201,210000,0.3,1
202,202,210000,0.3,1
203,203,210000,0.3,1
204,204,210000,0.3,1
205,205,210000,0.3,1
206,206,210000,0.3,1
207,207,210000,0.3,1
208,208,210000,0.3,1
209,209,210000,0.3,1
210,210,210000,0.3,1
211,211,210000,0.3,1
212,212,210000,0.3,1
213,213,210000,0.3,1
214,214,210000,0.3,1
215,215,210000,0.3,1
216,216,210000,0.3,1
217,217,210000,0.3,1
218,218,210000,0.3,1
219,219,210000,0.3,1
220,220,210000,0.3,1
221,221,210000,0.3,1
222,222,210000,0.3,1
223,223,210000,0.3,1
224,224,210000,0.3,1
225,225,210000,0.3,1
226,226,210000,0.3,1
227,227,210000,0.3,1
228,228,210000,0.3,1
229,229,210000,0.3,1
230,230,210000,0.3,1
231,231,210000,0.3,1
232,232,210000,0.3,1
233,233,210000,0.3,1
234,234,210000,0.3,1
235,235,210000,0.3,1
236,236,210000,0.3,1
237,237,210000,0.3,1
238,238,210000,0.3,1
239,239,210000,0.3,1
240,240,210000,0.3,1
241,241,210000,0.3,1
242,242,210000,0.3,1
243,243,210000,0.3,1
244,244,210000,0.3,1
245,245,210000,0.3,1
246,246,210000,0.3,1
247,247,210000,0.3,1
248,248,210000,0.3,1
249,249,210000,0.3,1
250,250,210000,0.3,1
251,251,210000,0.3,1
252,252,210000,0.3,1
253,253,210000,0.3,1
254,254,210000,0.3,1
255,255,210000,0.3,1
256,256,210000,0.3,1
257,257,210000,0.3,1
258,258,210000,0.3,1
259,259,210000,0.3,1
260,260,210000,0.3,1
261,261,210000,0.3,1
262,262,210000,0.3,1
263,263,210000,0.3,1
264,264,210000,0.3,1
265,265,210000,0.3,1
266,266,210000,0.3,1
267,267,210000,0.3,1
268,268,210000,0.3,1
269,269,210000,0.3,1
270,270,210000,0.3,1
271,271,210000,0.3,1
272,272,210000,0.3,1
273,273,210000,0.3,1
274,274,210000,0.3,1
275,275,210000,0.3,1
276,276,210000,0.3,1
277,277,210000,0.3,1
278,278,210000,0.3,1
279,279,210000,0.3,1
280,280,210000,0.3,1
281,281,210000,0.3,1
282,282,210000,0.3,1
283,283,210000,0.3,1
284,284,210000,0.3,1
285,285,210000,0.3,1
286,286,210000,0.3,1
287,287,210000,0.3,1
288,288,210000,0.3,1
289,289,210000,0.3,1
290,290,210000,0.3,1
291,291,210000,0.3,1
292,292,210000,0.3,1
293,293,210000,0.3,1
294,294,210000,0.3,1
295,295,210000,0.3,1
296,296,210000,0.3,1
297,297,210000,0.3,1
298,298,210000,0.3,1
299,299,210000,0.3,1
300,300,210000,0.3,1
301,301,210000,0.3,1
302,302,210000,0.3,1
303,303,210000,0.3,1
304,304,210000,0.3,1
305,305,210000,0.3,1
306,306,210000,0.3,1
307,307,210000,0.3,1
308,308,210000,0.3,1
309,309,210000,0.3,1
310,310,210000,0.3,1
311,311,210000,0.3,1
312,312,210000,0.3,1
313,313,210000,0.3,1
314,314,210000,0.3,1
315,315,210000,0.3,1
316,316,210000,0.3,1
317,317,210000,0.3,1
318,318,210000,0.3,1
319,319,210000,0.3,1
320,320,210000,0.3,1
321,321,210000,0.3,1
322,322,210000,0.3,1
323,323,210000,0.3,1
324,324,210000,0.3,1
325,325,210000,0.3,1
326,326,210000,0.3,1
327,327,210000,0.3,1
328,328,210000,0.3,1
329,329,210000,0.3,1
330,330,210000,0.3,1
331,331,210000,0.3,1
332,332,210000,0.3,1
333,333,210000,0.3,1
334,334,210000,0.3,1
335,335,210000,0.3,1
336,336,210000,0.3,1
337,337,210000,0.3,1
338,338,210000,0.3,1
339,339,210000,0.3,1
340,340,210000,0.3,1
341,341,210000,0.3,1
342,342,210000,0.3,1
343,343,210000,0.3,1
344,344,210000,0.3,1
345,345,210000,0.3,1
346,346,210000,0.3,1
347,347,210000,0.3,1
348,348,210000,0.3,1
349,349,210000,0.3,1
350,350,210000,0.3,1
351,351,210000,0.3,1
352,352,210000,0.3,1
353,353,210000,0.3,1
354,354,210000,0.3,1
355,355,210000,0.3,1
356,356,210000,0.3,1
357,357,210000,0.3,1
358,358,210000,0.3,1
359,359,210000,0.3,1
360,360,210000,0.3,1
361,361,210000,0.3,1
362,362,210000,0.3,1
363,363,210000,0.3,1
364,364,210000,0.3,1
365,365,210000,0.3,1
366,366,210000,0.3,1
367,367,210000,0.3,1
368,368,210000,0.3,1
369,369,210000,0.3,1
370,370,210000,0.3,1
371,371,210000,0.3,1
372,372,210000,0.3,1
373,373,210000,0.3,1
374,374,210000,0.3,1
375,375,210000,0.3,1
376,376,210000,0.3,1
377,377,210000,0.3,1
378,378,210000,0.3,1
379,379,210000,0.3,1
380,380,210000,0.3,1
381,381,210000,0.3,1
382,382,210000,0.3,1
383,383,210000,0.3,1
384,384,210000,0.3,1
385,385,210000,0.3,1
386,386,210000,0.3,1
387,387,210000,0.3,1
388,388,210000,0.3,1
389,389,210000,0.3,1
390,390,210000,0.3,1
391,391,210000,0.3,1
392,392,210000,0.3,1
393,393,210000,0.3,1
394,394,210000,0.3,1
395,395,210000,0.3,1
396,396,210000,0.3,1
397,397,210000,0.3,1
398,398,210000,0.3,1
399,399,210000,0.3,1
400,400,210000,0.3,1
401,401,210000,0.3,1
402,402,210000,0.3,1
403,403,210000,0.3,1
404,404,210000,0.3,1
405,405,210000,0.3,1
406,406,210000,0.3,1
407,407,210000,0.3,1
408,408,210000,0.3,1
409,409,210000,0.3,1
410,410,210000,0.3,1
411,411,210000,0.3,1
412,412,210000,0.3,1
413,413,210000,0.3,1
414,414,210000,0.3,1
415,415,210000,0.3,1
416,416,210000,0.3,1
417,417,210000,0.3,1
418,418,210000,0.3,1
419,419,210000,0.3,1
420,420,210000,0.3,1
421,421,210000,0.3,1
422,422,210000,0.3,1
423,423,210000,0.3,1
424,424,210000,0.3,1
425,425,210000,0.3,1
426,426,210000,0.3,1
427,427,210000,0.3,1
428,428,210000,0.3,1
429,429,210000,0.3,1
430,430,210000,0.3,1
431,431,210000,0.3,1
432,432,210000,0.3,1
433,433,210000,0.3,1
434,434,210000,0.3,1
435,435,210000,0.3,1
436,436,210000,0.3,1
437,437,210000,0.3,1
438,438,210000,0.3,1
439,439,210000,0.3,1
440,440,210000,0.3,1
441,441,210000,0.3,1
442,442,210000,0.3,1
443,443,210000,0.3,1
444,444,210000,0.3,1
445,445,210000,0.3,1
446,446,210000,0.3,1
447,447,210000,0.3,1
448,448,210000,0.3,1
449,449,210000,0.3,1
450,450,210000,0.3,1
451,451,210000,0.3,1
452,452,210000,0.3,1
453,453,210000,0.3,1
454,454,210000,0.3,1
455,455,210000,0.3,1
456,456,210000,0.3,1
457,457,210000,0.3,1
458,458,210000,0.3,1
459,459,210000,0.3,1
460,460,210000,0.3,1
461,461,210000,0.3,1
462,462,210000,0.3,1
463,463,210000,0.3,1
464,464,210000,0.3,1
465,465,210000,0.3,1
466,466,210000,0.3,1
467,467,210000,0.3,1
468,468,210000,0.3,1
469,469,210000,0.3,1
470,470,210000,0.3,1
471,471,210000,0.3,1
472,472,210000,0.3,1
473,473,210000,0.3,1
474,474,210000,0.3,1
475,475,210000,0.3,1
476,476,210000,0.3,1
477,477,210000,0.3,1
478,478,210000,0.3,1
479,479,210000,0.3,1
480,480,210000,0.3,1
481,481,210000,0.3,1
482,482,210000,0.3,1
483,483,210000,0.3,1
484,484,210000,0.3,1
485,485,210000,0.3,1
486,486,210000,0.3,1
487,487,210000,0.3,1
488,488,210000,0.3,1
489,489,210000,0.3,1
490,490,210000,0.3,1
491,491,210000,0.3,1
492,492,210000,0.3,1
493,493,210000,0.3,1
494,494,210000,0.3,1
495,495,210000,0.3,1
496,496,210000,0.3,1
497,497,210000,0.3,1
498,498,210000,0.3,1
499,499,210000,0.3,1
500,500,210000,0.3,1
501,501,210000,0.3,1
502,502,210000,0.3,1
503,503,210000,0.3,1
504,504,210000,0.3,1
505,505,210000,0.3,1
506,506,210000,0.3,1
507,507,210000,0.3,1
508,508,210000,0.3,1
509,509,210000,0.3,1
510,510,210000,0.3,1
511,511,210000,0.3,1
512,512,210000,0.3,1
513,513,210000,0.3,1
514,514,210000,0.3,1
515,515,210000,0.3,1
516,516,210000,0.3,1
517,517,210000,0.3,1
518,518,210000,0.3,1
519,519,210000,0.3,1
520,520,210000,0.3,1
521,521,210000,0.3,1
522,522,210000,0.3,1
523,523,210000,0.3,1
524,524,210000,0.3,1
525,525,210000,0.3,1
526,526,210000,0.3,1
527,527,210000,0.3,1
528,528,210000,0.3,1
529,529,210000,0.3,1
530,530,210000,0.3,1
531,531,210000,0.3,1
532,532,210000,0.3,1
533,533,210000,0.3,1
534,534,210000,0.3,1
535,535,210000,0.3,1
536,536,210000,0.3,1
537,537,210000,0.3,1
538,538,210000,0.3,1
539,539,210000,0.3,1
540,540,210000,0.3,1
541,541,210000,0.3,1
542,542,210000,0.3,1
543,543,210000,0.3,1
544,544,210000,0.3,1
545,545,210000,0.3,1
546,546,210000,0.3,1
547,547,210000,0.3,1
548,548,210000,0.3,1
549,549,210000,0.3,1
550,550,210000,0.3,1
551,551,210000,0.3,1
552,552,210000,0.3,1
553,553,210000,0.3,1
554,554,210000,0.3,1
555,555,210000,0.3,1
556,556,210000,0.3,1
557,557,210000,0.3,1
558,558,210000,0.3,1
559,559,210000,0.3,1
560,560,210000,0.3,1
561,561,210000,0.3,1
562,562,210000,0.3,1
563,563,210000,0.3,1
564,564,210000,0.3,1
565,565,210000,0.3,1
566,566,210000,0.3,1
567,567,210000,0.3,1
568,568,210000,0.3,1
569,569,210000,0.3,1
570,570,210000,0.3,1
571,571,210000,0.3,1
572,572,210000,0.3,1
573,573,210000,0.3,1
574,574,210000,0.3,1
575,575,210000,0.3,1
576,576,210000,0.3,1
577,577,210000,0.3,1
578,578,210000,0.3,1
579,579,210000,0.3,1
580,580,210000,0.3,1
581,581,210000,0.3,1
582,582,210000,0.3,1
583,583,210000,0.3,1
584,584,210000,0.3,1
585,585,210000,0.3,1
586,586,210000,0.3,1
587,587,210000,0.3,1
588,588,210000,0.3,1
589,589,210000,0.3,1
590,590,210000,0.3,1
591,591,210000,0.3,1
592,592,210000,0.3,1
593,593,210000,0.3,1
594,594,210000,0.3,1
595,595,210000,0.3,1
596,596,210000,0.3,1
597,597,210000,0.3,1
598,598,210000,0.3,1
599,599,210000,0.3,1
600,600,210000,0.3,1
601,601,210000,0.3,1
602,602,210000,0.3,1
603,603,210000,0.3,1
604,604,210000,0.3,1
605,605,210000,0.3,1
606,606,210000,0.3,1
607,607,210000,0.3,1
608,608,210000,0.3,1
609,609,210000,0.3,1
610,610,210000,0.3,1
611,611,210000,0.3,1
612,612,210000,0.3,1
613,613,210000,0.3,1
614,614,210000,0.3,1
615,615,210000,0.3,1
616,616,210000,0.3,1
617,617,210000,0.3,1
618,618,210000,0.3,1
619,619,210000,0.3,1
620,620,210000,0.3,1
621,621,210000,0.3,1
622,622,210000,0.3,1
623,623,210000,0.3,1
624,624,210000,0.3,1
625,625,210000,0.3,1
626,626,210000,0.3,1
627,627,210000,0.3,1
628,628,210000,0.3,1
629,629,210000,0.3,1
630,630,210000,0.3,1
631,631,210000,0.3,1
632,632,210000,0.3,1
633,633,210000,0.3,1
634,634,210000,0.3,1
635,635,210000,0.3,1
636,636,210000,0.3,1
637,637,210000,0.3,1
638,638,210000,0.3,1
639,639,210000,0.3,1
640,640,210000,0.3,1
641,641,210000,0.3,1
642,642,210000,0.3,1
643,643,210000,0.3,1
644,644,210000,0.3,1
645,645,210000,0.3,1
646,646,210000,0.3,1
647,647,210000,0.3,1
648,648,210000,0.3,1
649,649,210000,0.3,1
650,650,210000,0.3,1
651,651,210000,0.3,1
652,652,210000,0.3,1
653,653,210000,0.3,1
654,654,210000,0.3,1
655,655,210000,0.3,1
656,656,210000,0.3,1
657,657,210000,0.3,1
658,658,210000,0.3,1
659,659,210000,0.3,1
660,660,210000,0.3,1
661,661,210000,0.3,1
662,662,210000,0.3,1
663,663,210000,0.3,1
664,664,210000,0.3,1
665,665,210000,0.3,1
666,666,210000,0.3,1
667,667,210000,0.3,1
668,668,210000,0.3,1
669,669,210000,0.3,1
670,670,210000,0.3,1
671,671,210000,0.3,1
672,672,210000,0.3,1
