ID,IDP,NON,n0,n1,n2,n3
0,0,4,0,5,6,1
1,0,4,1,6,7,2
2,0,4,2,7,8,3
3,0,4,3,8,9,4
4,0,4,5,10,11,6
5,0,4,6,11,12,7
6,0,4,7,12,13,8
7,0,4,8,13,14,9
8,0,4,10,15,16,11
9,0,4,11,16,17,12
10,0,4,12,17,18,13
11,0,4,13,18,19,14
12,0,4,15,20,21,16
13,0,4,16,21,22,17
14,0,4,17,22,23,18
15,0,4,18,23,24,19
16,0,4,20,25,26,21
17,0,4,21,26,27,22
18,0,4,22,27,28,23
19,0,4,23,28,29,24
20,0,4,25,30,31,26
21,0,4,26,31,32,27
22,0,4,27,32,33,28
23,0,4,28,33,34,29
24,0,4,30,35,36,31
25,0,4,31,36,37,32
26,0,4,32,37,38,33
27,0,4,33,38,39,34
28,0,4,35,40,41,36
29,0,4,36,41,42,37
30,0,4,37,42,43,38
31,0,4,38,43,44,39
32,0,4,40,45,46,41
33,0,4,41,46,47,42
34,0,4,42,47,48,43
35,0,4,43,48,49,44
36,0,4,45,50,51,46
37,0,4,46,51,52,47
38,0,4,47,52,53,48
39,0,4,48,53,54,49
