ID,x0,x1,u0,u1
0,0,0,0,1
1,0,0.5,0,1
2,0,1,0,1
3,0,1.5,0,1
4,0,2,0,1
5,5,0,0,1
6,5,0.5,0,1
7,5,1,0,1
8,5,1.5,0,1
9,5,2,0,1
10,10,0,0,1
11,10,0.5,0,1
12,10,1,0,1
13,10,1.5,0,1
14,10,2,0,1
15,15,0,0,1
16,15,0.5,0,1
17,15,1,0,1
18,15,1.5,0,1
19,15,2,0,1
20,20,0,0,1
21,20,0.5,0,1
22,20,1,0,1
23,20,1.5,0,1
24,20,2,0,1
25,25,0,0,1
26,25,0.5,0,1
27,25,1,0,1
28,25,1.5,0,1
29,25,2,0,1
30,30,0,0,1
31,30,0.5,0,1
32,30,1,0,1
33,30,1.5,0,1
34,30,2,0,1
35,35,0,0,1
36,35,0.5,0,1
37,35,1,0,1
38,35,1.5,0,1
39,35,2,0,1
40,40,0,0,1
41,40,0.5,0,1
42,40,1,0,1
43,40,1.5,0,1
44,40,2,0,1
45,45,0,0,1
46,45,0.5,0,1
47,45,1,0,1
48,45,1.5,0,1
49,45,2,0,1
50,50,0,0,1
51,50,0.5,0,1
52,50,1,0,1
53,50,1.5,0,1
54,50,2,0,1
