id,ide,E,ƒË,t,rho
0,0,210000,0,0.01,7.80E-06
1,1,210000,0,0.01,7.80E-06
2,2,210000,0,0.01,7.80E-06
3,3,210000,0,0.01,7.80E-06
4,4,210000,0,0.01,7.80E-06
5,5,210000,0,0.01,7.80E-06
6,6,210000,0,0.01,7.80E-06
7,7,210000,0,0.01,7.80E-06
8,8,210000,0,0.01,7.80E-06
9,9,210000,0,0.01,7.80E-06
10,10,210000,0,0.01,7.80E-06
11,11,210000,0,0.01,7.80E-06
12,12,210000,0,0.01,7.80E-06
13,13,210000,0,0.01,7.80E-06
14,14,210000,0,0.01,7.80E-06
15,15,210000,0,0.01,7.80E-06
16,16,210000,0,0.01,7.80E-06
17,17,210000,0,0.01,7.80E-06
18,18,210000,0,0.01,7.80E-06
19,19,210000,0,0.01,7.80E-06
20,20,210000,0,0.01,7.80E-06
21,21,210000,0,0.01,7.80E-06
22,22,210000,0,0.01,7.80E-06
23,23,210000,0,0.01,7.80E-06
24,24,210000,0,0.01,7.80E-06
25,25,210000,0,0.01,7.80E-06
26,26,210000,0,0.01,7.80E-06
27,27,210000,0,0.01,7.80E-06
28,28,210000,0,0.01,7.80E-06
29,29,210000,0,0.01,7.80E-06
30,30,210000,0,0.01,7.80E-06
31,31,210000,0,0.01,7.80E-06
32,32,210000,0,0.01,7.80E-06
33,33,210000,0,0.01,7.80E-06
34,34,210000,0,0.01,7.80E-06
35,35,210000,0,0.01,7.80E-06
36,36,210000,0,0.01,7.80E-06
37,37,210000,0,0.01,7.80E-06
38,38,210000,0,0.01,7.80E-06
39,39,210000,0,0.01,7.80E-06
